数据时间,1#炉膛上部温度,1#炉膛中部温度,2#炉膛上部温度,2#炉膛中部温度,3#炉膛上部温度,3#炉膛中部温度,1#炉炉膛负压,2#炉膛负压,3#炉膛压力,1#炉一次风机速度反馈,1#炉一次风机已运行,2#炉一次风机速度反馈,2#炉一次风机已运行,3#炉一次风机速度反馈,3#炉一次风机已运行,1#炉二次风机速度反馈,1#炉二次风机已运行,2#炉二次风机速度反馈,2#炉二次风机已运行,3#炉二次风机速度反馈,3#炉二次风机已运行,1#炉引风机速度反馈,1#炉引风机已运行,2#炉引风机速度反馈,2#炉引风机已运行,3#炉引风机速度反馈,3#SNCRz除盐水流量,3#SNC尿素溶液流量,1#炉雾化石灰浆流量,2#炉雾化石灰浆流量,3#炉雾化石灰浆流量,1#炉SNCR炉膛出口温度,2#炉SNCR炉膛出口温度,3#炉SNCR炉膛出口温度,1#炉布袋除尘器压差,1#炉布袋除尘器入口温度,2#炉布袋除尘器压差,2#炉布袋除尘器入口温度,3#炉布袋除尘器压差,3#炉布袋除尘器入口温度,1#炉烟气温度,1#炉烟气压力,1#炉烟气流量,1#炉烟气湿度,1#炉烟气O2,1#炉烟气KLW（折算）,1#炉烟气SO2（折算）,1#炉烟气NOX（折算）,1#炉烟气CO（折算）,1#炉烟气HCL（折算）,2#炉烟气温度,2#炉烟气压力,2#炉烟气流量,2#炉烟气湿度,2#炉烟气O2,2#炉烟气KLW（折算）,2#炉烟气SO2（折算）,2#炉烟气NOX（折算）,2#炉烟气CO（折算）,2#炉烟气HCL（折算）,3#炉烟气温度,3#炉烟气压力,3#炉烟气流速,3#炉烟气湿度,3#炉烟气O2,3#炉烟气粉尘（折算）,3#炉烟气SO2（折算）,3#炉烟气NOX（折算）,3#炉烟气CO（折算）,3#炉烟气HCL（折算）
2025-05-23 00:20:00,952.58,1011.72,960.11,976.49,947.12,893.29,-183.25,-122.20,-78.55,29.32,1.00,17.58,1.00,49.59,1.00,21.93,1.00,27.63,0.00,37.02,1.00,42.70,1.00,21.15,1.00,41.42,0.00,29.66,0.00,4.00,0.00,849.88,954.85,798.96,-3406.50,183.39,-2306.25,130.41,2793.03,196.31,157.30,-67.00,12.85,11.32,15.05,14.70,22.37,79.99,14.03,0.45,113.81,-95.00,14.08,11.26,11.98,3.98,224.44,60.17,295.01,4.52,165.98,2.50,19.19,15.92,12.27,5.79,5.50,114.08,0.18,2.10
2025-05-23 00:22:00,952.25,1028.10,959.40,975.91,950.82,904.41,-173.40,-122.85,-100.75,29.31,1.00,17.57,1.00,49.58,1.00,21.94,1.00,27.63,0.00,37.01,1.00,42.70,1.00,21.15,1.00,41.41,0.00,29.47,0.00,10.00,0.00,848.83,951.60,774.24,-3317.35,181.71,-2295.45,130.71,2805.93,195.57,157.06,-69.00,13.15,11.32,14.90,14.62,24.31,78.10,9.49,0.58,113.68,-95.00,14.66,11.50,11.78,3.61,219.43,37.27,277.28,4.42,166.44,8.75,20.97,16.31,11.96,5.60,44.49,101.39,1.01,1.01
2025-05-23 00:24:00,939.97,1042.93,966.48,984.29,950.82,894.73,-156.10,-123.35,-86.95,29.31,1.00,17.60,1.00,49.60,1.00,15.74,1.00,27.63,0.00,37.02,1.00,40.22,1.00,21.15,1.00,41.43,0.00,29.68,2.00,0.00,5.00,831.54,935.15,784.98,-3300.90,180.79,-2282.75,130.68,2799.35,195.14,156.27,-45.00,12.99,11.32,15.89,16.20,23.04,77.52,20.79,0.64,114.27,-103.00,15.32,12.13,11.48,3.47,245.48,39.65,272.01,4.40,166.69,0.00,19.98,15.54,12.48,5.92,61.16,105.83,0.36,1.73
2025-05-23 00:26:00,937.56,1032.40,956.35,974.41,955.17,901.88,-150.40,-115.35,-70.95,33.22,1.00,17.59,1.00,49.60,1.00,15.72,1.00,27.63,0.00,35.78,1.00,40.25,1.00,21.15,1.00,41.42,0.00,29.70,0.00,0.00,4.00,851.50,949.00,782.82,-3279.70,179.12,-2281.20,131.04,2799.70,194.40,155.46,-8.00,13.18,11.32,14.62,14.09,22.77,67.85,21.94,0.54,114.60,-103.00,17.05,11.45,11.51,3.41,246.78,36.60,272.29,4.40,166.89,0.00,15.40,16.07,12.47,5.78,60.72,118.13,0.29,1.00
2025-05-23 00:28:00,951.53,1028.04,950.62,970.58,960.38,915.65,-152.50,-117.10,-74.95,33.22,1.00,17.63,1.00,49.60,1.00,15.71,1.00,27.63,0.00,34.54,1.00,40.24,1.00,21.15,1.00,41.42,0.00,29.56,2.00,6.00,0.00,861.83,956.41,782.28,-3285.30,177.69,-2274.75,131.22,2823.05,193.88,155.23,-17.00,12.74,11.32,14.39,12.50,34.22,73.16,11.99,0.37,114.72,-103.00,14.42,11.88,11.56,3.75,221.43,35.10,274.46,4.41,167.10,0.00,20.40,15.83,12.63,5.79,85.44,109.26,0.38,1.30
2025-05-23 00:30:00,955.89,1014.52,940.29,959.14,960.05,911.43,-185.75,-116.75,-128.05,33.23,1.00,17.79,1.00,49.58,1.00,15.72,1.00,27.63,0.00,34.53,1.00,40.22,1.00,21.15,1.00,41.44,0.00,29.78,1.00,7.00,0.00,866.12,957.78,782.34,-3250.35,176.78,-2283.60,131.54,2802.50,193.52,154.89,-16.00,13.22,11.32,14.66,12.42,27.80,60.53,19.57,0.37,115.18,-118.00,14.19,10.61,11.47,4.11,207.78,33.35,273.08,4.40,167.31,0.00,19.09,15.87,12.36,5.58,53.13,121.82,0.02,2.36
2025-05-23 00:32:00,963.82,1017.90,941.20,961.48,951.80,887.64,-123.40,-123.80,-39.55,33.22,1.00,17.32,1.00,49.58,1.00,15.73,1.00,27.63,0.00,34.52,1.00,40.22,1.00,21.15,1.00,41.41,0.00,29.76,2.00,7.00,0.00,895.18,975.59,808.50,-3295.80,176.04,-2293.70,131.71,2824.35,193.28,154.32,-7.00,13.47,11.32,13.66,12.28,31.89,71.34,20.74,0.36,115.29,-95.00,14.63,14.11,11.57,3.62,195.18,35.10,274.46,4.41,167.40,0.00,19.03,15.23,13.02,6.29,27.55,111.55,0.00,1.23
2025-05-23 00:34:00,970.26,1007.44,944.71,960.83,950.17,887.12,-87.55,-122.30,-92.40,33.21,1.00,17.31,1.00,49.60,1.00,24.32,1.00,27.63,0.00,34.54,1.00,41.44,1.00,21.15,1.00,41.42,0.00,29.83,4.00,0.00,0.00,922.35,974.02,794.76,-3272.70,175.41,-2285.65,132.19,2836.12,193.16,153.87,-83.00,12.89,11.32,12.56,10.81,50.41,45.24,77.44,0.32,115.51,-80.00,14.98,13.76,11.77,3.79,186.96,38.20,284.21,4.46,167.62,0.00,14.12,16.14,12.61,6.05,3.99,125.61,0.03,2.82
2025-05-23 00:36:00,974.68,1016.34,941.01,963.10,949.91,883.03,-104.95,-125.35,-86.60,33.22,1.00,17.27,1.00,49.60,1.00,24.45,1.00,27.63,0.00,34.53,1.00,41.49,1.00,21.15,1.00,41.42,0.00,29.79,2.00,4.00,3.00,928.40,975.00,796.74,-3402.15,175.32,-2282.30,132.43,2830.72,193.28,153.87,-22.00,13.43,11.32,12.53,10.06,73.65,41.49,306.47,0.29,115.64,-110.00,13.92,13.61,11.89,3.69,177.36,34.97,286.29,4.47,167.68,10.00,19.40,15.57,12.88,6.24,0.56,113.85,0.02,1.66
2025-05-23 00:38:00,980.01,1006.72,942.24,958.62,949.20,886.41,-110.75,-112.40,-129.90,33.23,1.00,17.64,1.00,49.58,1.00,24.43,1.00,27.63,0.00,29.57,1.00,41.48,1.00,21.15,1.00,41.44,0.00,29.78,3.00,5.00,0.00,951.28,976.63,787.44,-3398.40,175.53,-2317.75,132.75,2803.15,193.28,153.75,-98.00,13.55,11.32,12.53,9.86,73.65,41.49,306.47,0.29,115.86,-118.00,15.67,13.68,11.74,3.87,179.39,35.67,279.23,4.43,167.79,0.00,17.56,15.48,12.95,5.88,0.62,134.78,0.04,3.60
2025-05-23 00:40:00,994.70,1006.40,939.97,953.61,948.09,892.32,-97.30,-118.05,-132.95,33.22,1.00,17.62,1.00,49.60,1.00,24.44,1.00,27.63,0.00,29.55,1.00,44.43,1.00,21.15,1.00,41.42,0.00,29.66,4.00,0.00,5.00,957.51,983.19,766.56,-3779.10,176.04,-2297.15,133.15,2833.40,192.85,154.10,-122.00,14.20,11.32,12.56,10.09,40.59,79.79,36.98,0.30,116.44,-102.00,16.46,13.67,11.70,4.05,178.30,30.70,277.54,4.43,167.89,0.00,22.09,15.83,12.77,6.09,0.74,110.52,0.01,1.82
2025-05-23 00:42:00,998.79,1006.92,936.58,956.41,949.26,915.20,-147.70,-112.80,-135.80,33.20,1.00,17.59,1.00,49.58,1.00,19.45,1.00,27.63,0.00,29.56,1.00,41.97,1.00,21.15,1.00,41.43,0.00,29.96,1.00,3.00,5.00,972.27,988.72,758.94,-3388.15,176.04,-2314.65,133.46,2810.23,193.07,154.10,-75.00,13.26,11.32,12.71,11.29,38.78,114.48,11.96,0.33,116.44,-95.00,16.50,13.88,11.55,3.66,169.27,30.61,276.73,4.42,167.96,0.00,19.25,16.14,12.55,5.36,0.75,121.38,0.05,1.04
2025-05-23 00:44:00,1000.15,1016.99,945.03,959.59,950.62,925.73,-123.70,-119.90,-29.10,33.22,1.00,17.61,1.00,49.58,1.00,19.44,1.00,27.63,0.00,29.55,1.00,41.96,1.00,21.15,1.00,41.44,0.00,29.77,0.00,0.00,0.00,973.57,987.41,758.16,-3403.95,175.81,-2300.65,133.68,2823.90,193.48,153.75,-45.00,12.97,11.32,13.01,10.74,63.14,65.21,33.39,0.31,116.78,-86.00,14.63,13.61,11.71,3.94,160.84,30.80,278.44,4.43,168.07,5.00,18.39,16.31,12.38,5.96,5.76,101.81,0.35,2.12
2025-05-23 00:46:00,1003.60,1021.15,947.70,965.51,954.91,946.66,-67.15,-109.85,-136.85,33.21,1.00,17.59,1.00,49.58,1.00,23.19,1.00,27.63,0.00,29.55,1.00,41.97,1.00,21.15,1.00,41.41,0.00,29.75,6.00,4.00,8.00,977.93,991.58,758.76,-3391.70,175.74,-2339.40,133.77,2811.52,194.09,153.40,-60.00,13.30,11.32,12.92,10.20,74.07,52.76,85.12,0.30,117.24,-95.00,15.64,13.68,11.56,3.65,180.70,30.21,273.08,4.40,168.19,0.00,15.46,17.19,11.68,5.16,35.37,88.26,5.54,0.99
2025-05-23 00:48:00,1003.47,1013.94,940.22,960.89,956.02,950.56,-151.70,-109.80,-130.30,33.21,1.00,17.58,1.00,49.58,1.00,23.18,1.00,27.63,0.00,29.55,1.00,41.95,1.00,21.15,1.00,41.41,0.00,29.76,7.00,1.00,5.00,979.94,989.69,765.30,-3439.25,175.93,-2287.00,133.88,2840.60,194.31,153.18,-37.00,13.44,11.32,12.62,10.04,71.47,80.80,23.52,0.30,117.36,-110.00,15.70,13.66,11.56,3.72,164.34,30.46,275.37,4.41,168.24,0.00,19.24,16.65,11.94,5.72,70.57,93.94,1.83,1.96
2025-05-23 00:50:00,1006.46,1020.24,940.55,960.44,954.59,955.57,-122.80,-110.80,-103.55,33.22,1.00,17.56,1.00,49.58,1.00,23.20,1.00,27.63,0.00,29.55,1.00,41.96,1.00,21.15,1.00,41.43,0.00,29.65,2.00,6.00,0.00,977.79,991.38,788.22,-3415.80,176.64,-2306.55,134.18,2832.27,194.83,152.94,-53.00,13.51,11.32,12.87,10.64,63.83,93.17,14.74,0.32,117.59,-109.00,14.56,13.86,11.57,3.51,165.78,30.15,272.54,4.40,168.39,0.00,17.70,17.38,11.48,5.51,76.00,64.09,26.02,1.39
2025-05-23 00:52:00,1007.24,1015.88,928.85,952.51,951.99,958.75,-117.90,-101.75,-79.80,33.22,1.00,17.99,1.00,49.56,1.00,23.19,1.00,27.63,0.00,29.55,1.00,41.95,1.00,21.15,1.00,41.41,0.00,29.48,0.00,3.00,0.00,963.62,990.15,787.32,-3449.40,176.94,-2304.25,134.18,3000.00,194.94,152.71,-67.00,13.30,11.32,13.37,11.00,56.65,96.31,10.55,0.33,117.70,-109.00,14.46,13.81,11.53,3.76,166.46,30.27,273.66,4.41,168.47,2.50,15.76,17.11,11.32,5.01,82.55,59.78,46.42,2.23
2025-05-23 00:54:00,1001.13,1023.30,925.27,948.41,955.37,950.49,-138.15,-97.40,-176.15,33.21,1.00,17.90,1.00,49.57,1.00,23.19,1.00,27.63,0.00,34.52,1.00,41.94,1.00,21.15,1.00,45.15,0.00,29.78,5.00,3.00,4.00,951.47,988.26,796.92,-3462.60,177.66,-2330.55,134.28,3000.00,195.57,152.49,-52.00,13.65,11.32,13.97,11.68,48.80,101.82,11.16,0.35,118.03,-102.00,13.73,13.86,11.38,3.90,170.33,30.03,271.47,4.39,169.82,0.00,18.79,16.39,12.15,5.37,48.67,115.69,11.98,3.39
2025-05-23 00:56:00,995.86,1022.78,920.60,943.93,956.86,948.22,-153.05,-80.75,-211.20,33.20,1.00,18.42,1.00,49.56,1.00,23.18,1.00,27.63,0.00,34.53,1.00,41.94,1.00,21.15,1.00,45.14,0.00,29.67,4.00,11.00,1.00,927.81,979.55,810.36,-3436.40,177.66,-2305.45,134.40,2779.08,195.86,152.26,-60.00,13.41,11.32,14.78,13.20,42.40,93.68,9.75,0.39,117.60,-117.00,14.22,14.28,11.20,3.86,237.13,33.75,263.87,4.36,170.04,0.00,22.09,16.21,12.14,5.72,8.57,130.37,0.37,1.23
2025-05-23 00:58:00,994.04,1020.24,932.03,949.07,952.18,946.01,-125.45,-84.15,-118.20,33.22,1.00,18.44,1.00,49.57,1.00,23.18,1.00,27.63,0.00,29.55,1.00,41.98,1.00,21.15,1.00,41.41,0.00,29.77,4.00,10.00,0.00,924.30,982.54,815.10,-3439.65,177.08,-2324.60,134.49,2834.15,196.00,152.02,-22.00,13.32,11.32,13.89,12.10,39.93,93.58,11.45,0.36,118.28,-109.00,13.96,14.74,10.92,3.62,261.35,38.92,257.12,4.32,169.33,0.00,20.20,17.31,11.54,5.40,2.49,76.91,12.38,0.85
2025-05-23 01:00:00,991.38,1019.20,931.71,946.60,950.89,961.68,-115.40,-83.25,-73.90,33.22,1.00,18.41,1.00,49.58,1.00,23.20,1.00,27.63,0.00,29.56,1.00,41.96,1.00,21.15,1.00,41.41,0.00,29.81,0.00,5.00,4.00,911.62,978.12,805.08,-3440.00,176.82,-2321.90,134.49,2844.80,195.35,151.93,-29.00,12.98,11.32,14.33,12.42,36.26,94.41,9.37,0.38,118.50,-103.00,14.31,14.51,10.94,3.56,246.70,32.89,257.12,4.32,169.31,0.00,19.70,17.13,11.54,5.88,66.52,50.18,108.73,1.98
2025-05-23 01:02:00,981.63,1011.01,926.19,941.14,952.90,970.06,-145.65,-79.65,-97.80,33.21,1.00,18.43,1.00,49.58,1.00,23.19,1.00,27.63,0.00,34.52,1.00,41.98,1.00,21.15,1.00,43.88,0.00,29.68,1.00,0.00,5.00,895.96,971.10,803.40,-3438.05,177.08,-2275.45,134.58,3000.00,195.05,151.80,-60.00,13.40,11.32,14.56,12.98,32.48,85.53,12.48,0.39,118.62,-95.00,15.07,14.31,10.89,3.47,260.56,37.41,256.36,4.32,169.93,0.00,17.47,17.41,11.44,5.57,90.39,53.41,89.30,1.59
2025-05-23 01:04:00,975.78,1028.95,945.75,954.20,950.56,945.95,-118.00,-86.95,-81.80,33.22,1.00,18.47,1.00,49.56,1.00,23.22,1.00,27.63,0.00,37.49,1.00,41.97,1.00,21.15,1.00,43.90,0.00,29.67,8.00,0.00,4.00,887.96,968.76,810.12,-3420.15,177.08,-2285.85,134.67,3000.00,195.79,151.69,-21.00,13.50,11.32,14.73,14.37,28.95,78.48,12.18,0.43,118.86,-102.00,15.36,13.35,10.90,3.53,260.34,34.42,256.13,4.32,170.21,2.50,17.35,16.77,11.88,5.57,95.52,89.45,81.82,0.74
2025-05-23 01:06:00,975.07,1024.73,950.62,960.11,949.33,945.36,-130.85,-85.25,-10.15,33.21,1.00,18.36,1.00,49.56,1.00,23.20,1.00,27.63,0.00,37.49,1.00,41.96,1.00,21.15,1.00,43.86,0.00,29.66,1.00,3.00,7.00,886.93,965.25,823.80,-3466.35,176.96,-2332.35,134.67,3000.00,196.40,151.59,-91.00,13.10,11.32,14.15,12.21,30.70,74.11,13.12,0.37,119.21,-110.00,14.54,14.06,10.90,3.67,260.85,38.85,256.64,4.32,170.36,0.00,16.59,16.96,11.70,5.28,44.89,127.02,1.05,1.70
2025-05-23 01:08:00,966.42,1031.68,966.29,968.57,949.85,933.72,-121.40,-69.05,-77.45,33.21,1.00,18.43,1.00,49.57,1.00,23.18,1.00,27.63,0.00,37.51,1.00,41.95,1.00,21.15,1.00,43.89,0.00,29.79,4.00,0.00,0.00,871.33,957.12,841.02,-3464.10,176.65,-2335.75,134.67,3000.00,197.15,151.45,-76.00,13.97,11.32,15.06,14.01,21.58,69.45,15.06,0.42,119.19,-109.00,14.39,13.45,10.96,3.46,257.19,28.53,257.89,4.32,170.55,0.00,20.35,17.01,11.89,5.28,9.49,145.16,0.83,2.89
2025-05-23 01:10:00,961.09,1024.73,953.48,970.39,945.95,941.65,-101.90,-62.15,-27.05,35.79,1.00,18.38,1.00,49.58,1.00,23.18,1.00,27.63,1.00,33.52,1.00,41.93,1.00,21.15,1.00,41.42,0.00,29.89,3.00,7.00,7.00,865.35,952.77,846.84,-3450.05,176.25,-2357.70,134.79,2904.80,197.84,151.47,-83.00,13.49,11.32,14.64,13.85,21.49,69.13,14.99,0.42,119.08,-94.00,14.98,13.45,10.77,3.32,256.94,30.88,252.82,4.30,170.32,0.00,20.31,17.57,11.04,4.80,9.46,72.42,19.16,2.31
2025-05-23 01:12:00,968.43,1031.35,957.45,969.99,941.07,954.85,-86.55,-70.65,-31.60,35.79,1.00,18.36,1.00,49.57,1.00,23.18,1.00,27.63,1.00,33.53,1.00,41.95,1.00,21.15,1.00,41.42,0.00,29.87,2.00,6.00,1.00,888.42,960.44,818.88,-3476.55,176.35,-2322.85,135.00,2891.43,197.96,151.35,1.00,13.88,11.32,13.34,10.96,21.97,67.39,19.57,0.32,119.43,-109.00,14.13,14.06,10.66,3.44,254.09,33.60,250.01,4.28,170.44,0.00,21.78,18.03,10.84,5.18,18.38,69.77,70.78,2.08
2025-05-23 01:14:00,970.91,1033.05,954.14,970.71,943.41,943.08,-87.00,-77.85,-123.95,35.82,1.00,18.57,1.00,49.56,1.00,23.20,1.00,27.63,1.00,37.49,1.00,41.93,1.00,21.15,1.00,45.12,0.00,29.67,6.00,3.00,10.00,902.79,961.35,826.44,-3467.90,176.65,-2538.25,134.90,2888.43,198.18,151.35,-74.00,12.64,11.32,13.01,10.36,27.79,63.97,21.44,0.32,119.65,-101.00,15.72,13.86,10.62,3.43,253.82,37.81,249.74,4.28,171.36,0.00,15.68,18.16,10.58,5.29,100.00,51.26,264.17,2.12
2025-05-23 01:16:00,971.88,1037.27,962.78,977.79,940.62,928.53,-89.20,-124.20,-77.05,35.80,1.00,18.79,1.00,49.56,1.00,23.20,1.00,27.63,1.00,37.51,1.00,41.94,1.00,21.15,1.00,45.15,0.00,29.77,4.00,1.00,2.00,925.15,965.96,834.90,-3476.00,176.88,-2542.60,135.30,3000.00,198.90,151.23,-36.00,12.84,11.32,12.91,10.75,28.10,87.94,12.53,0.32,120.46,-93.00,16.95,13.45,10.77,3.65,257.64,32.42,253.50,4.30,171.79,5.00,18.74,16.90,11.60,5.20,31.92,120.63,6.45,2.32
