时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分,数据来源,数据日期
2024-07-01 09:00:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:05:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:05:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:10:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:10:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:15:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:15:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:20:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:20:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:25:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:25:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:30:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:30:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:35:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:35:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:40:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:40:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:45:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:45:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:50:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 09:50:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:55:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 09:55:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:00:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:00:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:05:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:05:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:10:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:10:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:15:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:15:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:20:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:20:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:25:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:25:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:30:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:30:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:35:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:35:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:40:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 10:40:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:50:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 10:50:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 11:30:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 11:30:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 14:20:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 14:20:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 16:25:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 16:25:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 17:30:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 17:30:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 22:25:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 22:25:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 22:29:00,1,预警,布袋除尘器压力损失偏低,预警,7.1_process.xlsx,7.1
2024-07-01 22:30:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 22:30:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-01 23:40:00,1,报警,低炉温焚烧,报警,7.1_process.xlsx,7.1
2024-07-01 23:40:00,1,预警,瞬时低炉温焚烧,预警,7.1_process.xlsx,7.1
2024-07-02 00:05:00,1,预警,布袋除尘器压力损失偏低,预警,7.2_process.xlsx,7.2
2024-07-02 00:05:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 00:05:00,1,预警,焚烧炉出口氧含量偏高,预警,7.2_process.xlsx,7.2
2024-07-02 00:05:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 00:10:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 00:10:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 00:15:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 00:15:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 00:20:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 00:20:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 01:35:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 01:35:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 01:55:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 01:55:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 02:20:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 02:20:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 02:45:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 02:45:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 03:00:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 03:00:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 03:35:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 03:35:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 03:45:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 03:45:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 04:00:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 04:00:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 07:45:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 07:45:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 07:50:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 07:50:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 07:55:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 07:55:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:00:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:00:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:05:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:05:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:10:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:10:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:15:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:15:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:20:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:20:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:25:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:25:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:30:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:30:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:35:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:35:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:40:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:40:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:45:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:45:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:50:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:50:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 08:55:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 08:55:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:00:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:00:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:10:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:10:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:15:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:15:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:20:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:20:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:25:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:25:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:30:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:30:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:35:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:35:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:45:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:45:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 09:50:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 09:50:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 10:00:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 10:00:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 10:05:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 10:05:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 10:10:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 10:10:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 10:25:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 10:25:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 14:20:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-02 14:20:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 19:00:00,1,预警,瞬时低炉温焚烧,预警,7.2_process.xlsx,7.2
2024-07-02 19:00:00,1,报警,低炉温焚烧,报警,7.2_process.xlsx,7.2
2024-07-03 00:15:00,1,预警,焚烧炉出口氧含量偏高,预警,7.3_process.xlsx,7.3
2024-07-03 00:15:00,1,预警,布袋除尘器压力损失偏低,预警,7.3_process.xlsx,7.3
2024-07-03 00:15:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 00:15:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 02:05:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 02:05:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 06:20:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 06:20:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 06:25:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 06:25:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 07:05:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 07:05:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 07:10:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 07:10:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 07:50:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 07:50:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 09:15:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 09:15:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 09:20:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 09:20:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 09:25:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 09:25:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 09:35:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 09:35:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 09:40:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 09:40:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 12:30:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 12:30:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 12:35:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 12:35:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-03 12:36:00,1,预警,焚烧炉出口氧含量偏低,预警,7.3_process.xlsx,7.3
2024-07-03 12:40:00,1,报警,低炉温焚烧,报警,7.3_process.xlsx,7.3
2024-07-03 12:40:00,1,预警,瞬时低炉温焚烧,预警,7.3_process.xlsx,7.3
2024-07-04 08:55:00,1,报警,低炉温焚烧,报警,7.4_process.xlsx,7.4
2024-07-04 08:55:00,1,预警,瞬时低炉温焚烧,预警,7.4_process.xlsx,7.4
2024-07-04 08:59:00,1,预警,布袋除尘器压力损失偏低,预警,7.4_process.xlsx,7.4
2024-07-04 08:59:00,1,预警,焚烧炉出口氧含量偏高,预警,7.4_process.xlsx,7.4
2024-07-04 09:00:00,1,预警,瞬时低炉温焚烧,预警,7.4_process.xlsx,7.4
2024-07-04 09:00:00,1,报警,低炉温焚烧,报警,7.4_process.xlsx,7.4
2024-07-04 10:40:00,1,预警,瞬时低炉温焚烧,预警,7.4_process.xlsx,7.4
2024-07-04 10:40:00,1,报警,低炉温焚烧,报警,7.4_process.xlsx,7.4
2024-07-04 15:05:00,1,报警,低炉温焚烧,报警,7.4_process.xlsx,7.4
2024-07-04 15:05:00,1,预警,瞬时低炉温焚烧,预警,7.4_process.xlsx,7.4
2024-07-04 15:50:00,1,报警,低炉温焚烧,报警,7.4_process.xlsx,7.4
2024-07-04 15:50:00,1,预警,瞬时低炉温焚烧,预警,7.4_process.xlsx,7.4
2024-07-04 20:45:00,1,报警,低炉温焚烧,报警,7.4_process.xlsx,7.4
2024-07-04 20:45:00,1,预警,瞬时低炉温焚烧,预警,7.4_process.xlsx,7.4
2024-07-04 21:05:00,1,报警,低炉温焚烧,报警,7.4_process.xlsx,7.4
2024-07-04 21:05:00,1,预警,瞬时低炉温焚烧,预警,7.4_process.xlsx,7.4
2024-07-05 00:00:00,1,报警,烟气中颗粒物（PM）排放超标,报警,7.5_process.xlsx,7.5
2024-07-05 00:50:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 00:50:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 00:53:00,1,预警,焚烧炉出口氧含量偏高,预警,7.5_process.xlsx,7.5
2024-07-05 00:53:00,1,预警,布袋除尘器压力损失偏低,预警,7.5_process.xlsx,7.5
2024-07-05 05:35:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 05:35:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 08:00:00,1,预警,烟气中颗粒物（PM）浓度较高,预警,7.5_process.xlsx,7.5
2024-07-05 08:05:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 08:05:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 08:55:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 08:55:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 09:20:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 09:20:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 13:55:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 13:55:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 14:45:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 14:45:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 14:50:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 14:50:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 16:15:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 16:15:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 16:20:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 16:20:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 16:25:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 16:25:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 16:30:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 16:30:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 16:35:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 16:35:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 22:35:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 22:35:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 23:10:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 23:10:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 23:15:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-05 23:15:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 23:30:00,1,报警,低炉温焚烧,报警,7.5_process.xlsx,7.5
2024-07-05 23:30:00,1,预警,瞬时低炉温焚烧,预警,7.5_process.xlsx,7.5
2024-07-06 00:00:00,1,预警,烟气中颗粒物（PM）浓度较高,预警,7.6_process.xlsx,7.6
2024-07-06 00:20:00,1,报警,低炉温焚烧,报警,7.6_process.xlsx,7.6
2024-07-06 00:20:00,1,预警,瞬时低炉温焚烧,预警,7.6_process.xlsx,7.6
2024-07-06 00:22:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 00:22:00,1,预警,布袋除尘器压力损失偏低,预警,7.6_process.xlsx,7.6
2024-07-06 00:25:00,1,报警,低炉温焚烧,报警,7.6_process.xlsx,7.6
2024-07-06 00:25:00,1,预警,瞬时低炉温焚烧,预警,7.6_process.xlsx,7.6
2024-07-06 01:47:00,1,预警,布袋除尘器压力损失偏低,预警,7.6_process.xlsx,7.6
2024-07-06 02:48:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 03:11:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 05:47:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 09:34:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 09:45:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 10:06:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 10:35:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 10:45:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 10:56:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 12:53:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 14:38:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 16:04:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 17:11:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 17:30:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 17:48:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 18:13:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 18:32:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 18:39:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 20:31:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
2024-07-06 21:01:00,1,预警,焚烧炉出口氧含量偏高,预警,7.6_process.xlsx,7.6
