创建时间,企业名称,设备名称,出口voc,出口voc前一小时平均值,进口voc,进口voc前一小时平均值,氧气,风管内温度值,风管内湿度值,风管内风速值,出口风压值,进口风压值,风管压差,进口产生量kg,出口排放量kg,处理效率,风量,进口0出口1
2025/7/11 23:54,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.47,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:54,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.45,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:54,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.51,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:53,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.55,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:53,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.53,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:53,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.54,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:53,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.42,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:53,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.38,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:53,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.43,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:52,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.37,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:52,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.42,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:52,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.41,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:52,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.44,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:52,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.39,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:52,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.36,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:51,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.38,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:51,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.42,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:51,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.32,69.38,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:51,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.34,69.41,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:51,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.36,69.37,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:51,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.35,69.32,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:50,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.36,69.26,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:50,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.36,69.27,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:50,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.29,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:50,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.32,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:50,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.35,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:50,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.44,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:49,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.35,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:49,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.39,69.31,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:49,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.39,69.36,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:49,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.39,69.31,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:49,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.40,69.39,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:49,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.40,69.40,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:48,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.40,69.32,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:48,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.40,69.30,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:48,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.41,69.33,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:48,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.43,69.33,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:48,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.45,69.36,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:47,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.46,69.35,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:47,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.47,69.29,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:47,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.48,69.28,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:47,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.48,69.35,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:47,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.48,69.36,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:47,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.48,69.40,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:46,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.49,69.35,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:46,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.49,69.31,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:46,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.49,69.34,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:46,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.49,69.32,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:46,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.48,69.31,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:46,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.48,69.48,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:45,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.49,69.48,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:45,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.47,69.43,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:45,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.47,69.44,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:45,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.46,69.41,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:45,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.44,69.41,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:45,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.45,69.47,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:44,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.44,69.50,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:44,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.42,69.62,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:44,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.41,69.71,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:44,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.40,69.63,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:44,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.40,69.64,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:44,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.40,69.62,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:43,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.39,69.58,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:43,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.37,69.55,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:43,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.35,69.60,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:43,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.33,69.56,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:43,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.41,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:43,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.32,69.37,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:42,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.38,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:42,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.32,69.37,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:42,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.33,69.39,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:42,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.33,69.52,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:42,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.45,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:42,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.45,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:41,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.49,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:41,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.56,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:41,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.56,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:41,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.57,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:41,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.47,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:41,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.51,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:40,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.44,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:40,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.40,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:40,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.43,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:40,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.46,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:40,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.41,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:40,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.20,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:39,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.20,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:39,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.17,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:39,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.33,69.26,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:39,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.33,69.33,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:39,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.34,69.37,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:39,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.36,69.49,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:38,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.32,69.32,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:38,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.36,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:38,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.39,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:38,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.31,69.42,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:38,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.49,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:38,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.55,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:37,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.40,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:37,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.26,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:37,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.25,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:37,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.33,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:37,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.42,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:37,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.41,0.00,100.50,100.62,-0.12,0.00,0.00,,0.00,0
2025/7/11 23:36,连微,抽气式东星行测试,0.00,0.00,0.30,0.04,,31.29,69.31,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:36,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.29,69.28,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:36,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.14,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:36,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.13,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:36,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.11,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:36,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.22,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:35,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.23,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:35,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.22,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:35,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.21,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:35,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.22,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:35,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.18,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:35,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.24,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:34,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.23,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:34,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.21,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:34,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.30,69.21,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:34,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.32,69.15,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:34,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.34,69.03,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:34,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.35,69.12,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:33,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.35,69.23,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:33,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.35,69.22,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:33,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.35,69.19,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:33,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.36,69.18,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:33,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.36,69.15,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:33,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.19,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:32,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.19,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:32,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.38,69.12,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:32,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.37,69.15,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:32,连微,抽气式东星行测试,0.00,0.00,0.00,0.04,,31.39,69.18,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:32,连微,抽气式东星行测试,0.00,0.00,0.50,0.04,,31.39,69.16,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:31,连微,抽气式东星行测试,0.00,0.00,4.00,0.03,,31.38,69.11,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:31,连微,抽气式东星行测试,0.00,0.00,0.00,0.03,,31.39,69.15,0.00,100.50,100.61,-0.11,0.00,0.00,,0.00,0
2025/7/11 23:31,连微,抽气式东星行测试,0.00,0.00,1.80,0.02,,31.40,69.13,0.00,100.50,100.60,-0.10,0.00,0.00,,0.00,0
