数据时间,入炉垃圾量,系统时间年,系统时间月,系统时间日,系统时间小时,系统时间分钟,系统时间秒,推料器A位置,推料器B位置,一次风机频率反馈,一次风机电流反馈,A辅助燃烧器运行信号,B辅助燃烧器运行信号,上部烟气温度左,上部烟气温度中,上部烟气温度右,中部烟气温度左,中部烟气温度中,中部烟气温度右,下部烟气温度左,下部烟气温度中,下部烟气温度右,引风机变频器频率反馈,引风机入口调节风门位置反馈,消石灰累计,1#消石灰输送风机运行信号,备用消石灰输送风机运行信号,雾化器浆液流量,省煤器出口温度,反应塔温度,雾化器电流,减湿液PH值,湿法烧碱供应流量,湿法洗涤塔温度,SNCR分配柜氨水流量,SNCR-A氨水供应泵运行信号,SNCR-B氨水供应泵运行信号,NH3浓度,1#SCR氨水流量,SCR系统温度,SCR-A氨水供应泵运行信号,SCR-B氨水供应泵运行信号,活性炭称重累计,1#活性炭输送风机运行信号,备用活性炭输送风机运行信号,除尘器差压,除尘器灰斗温度,烟气温度,烟气压力,烟气含水量,烟气氧量,烟气烟尘,SO2浓度,NOX浓度,CO浓度,HCL浓度,烟气流速
2024-11-03 01:06:00,537555.75,2024.00,11.00,3.00,0.00,59.00,46.00,14.92,30.74,0.05,1.07,0.00,0.00,18.80,19.91,19.64,18.89,18.61,18.42,18.89,18.14,18.61,15.23,98.66,285.37,0.00,0.00,-0.01,23.57,30.32,-3.75,8.03,-0.24,24.33,-0.31,0.00,0.00,0.02,-0.52,21.56,0.00,0.00,229689.52,0.00,0.00,269.10,26.63,27.56,-0.11,0.53,19.23,0.19,0.02,3.71,0.30,0.65,6.00
2024-11-03 01:08:00,537555.75,2024.00,11.00,3.00,1.00,1.00,42.00,14.98,30.82,0.05,-4.73,0.00,0.00,18.86,19.98,19.60,18.86,18.67,18.49,18.86,18.02,18.58,15.24,98.64,285.37,0.00,0.00,-0.01,23.56,30.29,-3.75,8.03,-0.21,24.29,-0.37,0.00,0.00,0.01,-0.56,21.55,0.00,0.00,229689.52,0.00,0.00,257.15,26.61,27.56,-0.11,0.56,19.25,0.06,0.05,3.11,0.63,0.54,5.80
2024-11-03 01:10:00,537555.75,2024.00,11.00,3.00,1.00,3.00,46.00,15.04,30.82,0.05,-1.33,0.00,0.00,18.86,19.88,19.60,18.95,18.67,18.49,18.86,18.30,18.77,15.24,98.66,285.37,0.00,0.00,0.00,23.53,30.28,-3.75,8.02,-0.21,24.28,-0.41,0.00,0.00,0.01,-0.46,21.55,0.00,0.00,229689.52,0.00,0.00,262.15,26.61,27.56,-0.10,0.52,19.27,0.19,0.03,2.52,0.46,0.72,6.55
2024-11-03 01:12:00,537555.75,2024.00,11.00,3.00,1.00,5.00,46.00,15.04,31.03,0.05,0.47,0.00,0.00,18.49,19.98,19.60,18.86,18.58,18.49,18.86,18.11,18.77,15.24,98.66,285.37,0.00,0.00,0.00,23.53,30.28,-3.75,8.02,-0.24,24.28,-0.37,0.00,0.00,0.01,-0.46,21.52,0.00,0.00,229689.52,0.00,0.00,259.79,26.59,27.56,-0.10,0.56,19.27,0.19,0.05,2.94,0.62,0.62,6.05
2024-11-03 01:14:00,537555.75,2024.00,11.00,3.00,1.00,7.00,47.00,15.12,30.94,0.06,1.56,0.00,0.00,18.55,19.95,19.57,18.92,18.64,18.46,18.73,18.08,18.55,15.23,98.15,285.37,0.00,0.00,-0.01,23.52,30.24,-3.75,8.02,-0.32,24.25,-0.31,0.00,0.00,0.01,-0.46,21.50,0.00,0.00,229689.52,0.00,0.00,253.06,26.56,27.56,-0.10,0.55,19.27,0.12,0.03,3.04,0.54,0.45,6.10
2024-11-03 01:16:00,537555.75,2024.00,11.00,3.00,1.00,9.00,36.00,15.12,31.03,0.06,1.95,0.00,0.00,18.49,19.88,19.60,18.95,18.86,18.49,18.77,18.11,18.58,15.22,98.20,285.37,0.00,0.00,0.00,23.48,30.22,-3.75,8.02,-0.21,24.25,-0.44,0.00,0.00,0.01,-0.52,21.50,0.00,0.00,229689.52,0.00,0.00,256.46,26.56,27.38,-0.10,0.55,19.25,0.25,0.07,2.47,0.67,0.50,5.95
2024-11-03 01:18:00,537555.75,2024.00,11.00,3.00,1.00,11.00,46.00,15.12,31.08,0.05,-4.42,0.00,0.00,18.46,19.95,19.57,18.73,18.55,18.36,18.73,18.08,18.55,15.23,98.15,285.37,0.00,0.00,0.00,23.45,30.20,-3.75,8.02,-0.21,24.23,-0.35,0.00,0.00,0.01,-0.52,21.47,0.00,0.00,229689.52,0.00,0.00,257.71,26.53,27.38,-0.10,0.53,19.25,0.38,0.00,4.16,0.67,0.73,6.20
2024-11-03 01:20:00,537555.75,2024.00,11.00,3.00,1.00,13.00,46.00,15.12,31.23,0.06,2.18,0.00,0.00,18.46,19.95,19.57,18.73,18.55,18.36,18.73,18.08,18.55,15.23,98.19,285.37,0.00,0.00,-0.01,23.45,30.16,-3.75,8.02,-0.24,24.20,-0.40,0.00,0.00,0.01,-0.52,21.47,0.00,0.00,229689.52,0.00,0.00,264.24,26.51,27.38,-0.11,0.55,19.28,0.31,0.02,3.04,0.51,0.65,6.00
2024-11-03 01:22:00,537555.75,2024.00,11.00,3.00,1.00,15.00,30.00,15.24,31.28,0.05,-1.91,0.00,0.00,18.46,19.95,19.57,18.73,18.55,18.36,18.73,18.08,18.55,15.23,98.16,285.37,0.00,0.00,-0.01,23.44,30.15,-3.75,8.02,-0.32,24.20,-0.41,0.00,0.00,0.01,-0.52,21.44,0.00,0.00,229689.52,0.00,0.00,255.69,26.48,27.38,-0.10,0.55,19.28,0.50,0.02,4.09,0.76,0.73,6.22
2024-11-03 01:24:00,537555.75,2024.00,11.00,3.00,1.00,17.00,45.00,15.18,31.28,0.05,-4.32,0.00,0.00,18.46,19.95,19.57,18.83,18.64,18.36,18.73,18.08,18.46,15.23,98.13,285.37,0.00,0.00,-0.01,23.40,30.15,-3.75,8.02,-0.28,24.18,-0.34,0.00,0.00,0.00,-0.52,21.44,0.00,0.00,229689.52,0.00,0.00,257.43,26.48,27.38,-0.11,0.54,19.27,0.12,0.06,3.78,0.52,0.64,5.97
2024-11-03 01:26:00,537555.75,2024.00,11.00,3.00,1.00,19.00,47.00,15.18,31.40,0.05,-0.29,0.00,0.00,18.52,19.91,19.54,18.70,18.52,18.24,18.70,18.05,18.52,15.23,98.17,285.37,0.00,0.00,-0.01,23.39,30.12,-3.75,8.02,-0.24,24.16,-0.35,0.00,0.00,0.04,-0.59,21.42,0.00,0.00,229689.52,0.00,0.00,259.44,26.46,27.38,-0.11,0.55,19.25,0.66,0.13,2.47,0.38,0.67,6.05
2024-11-03 01:28:00,537555.75,2024.00,11.00,3.00,1.00,21.00,46.00,15.24,31.54,0.05,0.51,0.00,0.00,18.52,19.91,19.54,18.80,18.52,18.33,18.70,18.05,18.52,15.23,98.12,285.37,0.00,0.00,0.00,23.36,30.12,-3.75,8.02,-0.24,24.16,-0.34,0.00,0.00,0.01,-0.56,21.39,0.00,0.00,229689.52,0.00,0.00,258.06,26.43,27.38,-0.10,0.55,19.30,0.56,0.00,2.47,0.80,0.52,6.38
2024-11-03 01:30:00,537555.75,2024.00,11.00,3.00,1.00,23.00,32.00,15.24,31.60,0.06,0.36,0.00,0.00,18.52,19.91,19.54,18.52,18.52,18.24,18.70,18.05,18.52,15.22,98.16,285.37,0.00,0.00,0.00,23.36,30.10,-3.75,8.02,-0.21,24.12,-0.44,0.00,0.00,0.01,-0.46,21.39,0.00,0.00,229689.52,0.00,0.00,252.78,26.42,27.38,-0.10,0.57,19.28,0.38,0.02,3.26,0.74,0.28,6.00
2024-11-03 01:32:00,537555.75,2024.00,11.00,3.00,1.00,25.00,39.00,15.18,31.60,0.05,-4.41,0.00,0.00,18.49,19.88,19.51,18.67,18.58,18.30,18.39,18.02,18.49,15.23,98.14,285.37,0.00,0.00,0.00,23.34,30.07,-3.75,8.02,-0.24,24.12,-0.37,0.00,0.00,0.01,-0.49,21.39,0.00,0.00,229689.52,0.00,0.00,259.31,26.39,27.38,-0.12,0.57,19.27,0.50,0.04,3.01,0.52,0.35,6.20
2024-11-03 01:34:00,537555.75,2024.00,11.00,3.00,1.00,27.00,46.00,15.18,31.69,0.05,-1.93,0.00,0.00,18.39,19.88,19.51,18.49,18.49,18.30,18.49,17.93,18.49,15.24,98.18,285.37,0.00,0.00,-0.01,23.31,30.04,-3.75,8.02,-0.31,24.11,-0.31,0.00,0.00,0.02,-0.52,21.38,0.00,0.00,229689.52,0.00,0.00,262.43,26.35,27.34,-0.10,0.56,19.28,0.31,0.08,4.60,0.42,0.49,6.38
2024-11-03 01:36:00,537555.75,2024.00,11.00,3.00,1.00,29.00,46.00,15.33,31.69,0.05,-1.78,0.00,0.00,18.33,19.91,19.54,18.70,18.61,18.42,18.42,18.24,18.70,15.23,98.11,285.37,0.00,0.00,-0.01,23.29,30.04,-3.75,8.01,-0.29,24.09,-0.34,0.00,0.00,0.01,-0.57,21.34,0.00,0.00,229689.52,0.00,0.00,260.83,26.35,27.27,-0.11,0.56,19.26,0.12,0.02,3.07,0.54,0.31,6.20
2024-11-03 01:38:00,537555.75,2024.00,11.00,3.00,1.00,31.00,46.00,15.24,31.80,0.05,-2.23,0.00,0.00,18.39,19.98,19.70,18.49,18.67,18.39,18.58,18.11,18.77,15.23,98.11,285.37,0.00,0.00,-0.01,23.27,30.03,-3.75,8.02,-0.21,24.05,-0.38,0.00,0.00,0.00,-0.49,21.34,0.00,0.00,229689.52,0.00,0.00,253.12,26.34,27.23,-0.10,0.55,19.28,0.44,0.04,3.07,0.54,0.44,6.22
2024-11-03 01:40:00,537555.75,2024.00,11.00,3.00,1.00,33.00,45.00,15.24,31.89,0.05,1.80,0.00,0.00,18.58,19.98,19.70,18.58,18.67,18.49,18.49,18.11,18.77,15.22,98.20,285.37,0.00,0.00,-0.01,23.27,29.99,-3.75,8.01,-0.28,24.05,-0.38,0.00,0.00,0.02,-0.49,21.32,0.00,0.00,229689.52,0.00,0.00,254.24,26.32,27.30,-0.10,0.55,19.24,0.38,0.02,2.90,0.51,0.40,5.93
