数据时间,入炉垃圾量,系统时间年,系统时间月,系统时间日,系统时间小时,系统时间分钟,系统时间秒,推料器A位置,推料器B位置,一次风机频率反馈,一次风机电流反馈,A辅助燃烧器运行信号,B辅助燃烧器运行信号,上部烟气温度左,上部烟气温度中,上部烟气温度右,中部烟气温度左,中部烟气温度中,中部烟气温度右,下部烟气温度左,下部烟气温度中,下部烟气温度右,引风机变频器频率反馈,引风机入口调节风门位置反馈,消石灰累计,1#消石灰输送风机运行信号,备用消石灰输送风机运行信号,雾化器浆液流量,省煤器出口温度,反应塔温度,雾化器电流,减湿液PH值,湿法烧碱供应流量,湿法洗涤塔温度,SNCR分配柜氨水流量,SNCR-A氨水供应泵运行信号,SNCR-B氨水供应泵运行信号,NH3浓度,1#SCR氨水流量,SCR系统温度,SCR-A氨水供应泵运行信号,SCR-B氨水供应泵运行信号,活性炭称重累计,1#活性炭输送风机运行信号,备用活性炭输送风机运行信号,除尘器差压,除尘器灰斗温度,烟气温度,烟气压力,烟气含水量,烟气氧量,烟气烟尘,SO2浓度,NOX浓度,CO浓度,HCL浓度,烟气流速
2025-06-01 00:04:03,639666.75,2025.00,6.00,1.00,0.00,3.00,4.00,29.30,28.84,35.58,106.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,223.82,--,--,--,--,68.06,--,--,--,--,--,190.20,--,--,--,--,--,--,147.38,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:04:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:06:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1085.26,939.79,1150.99,1076.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.26,15.80,--,--,--,--,--,--,--,--,152.44,-0.32,20.43,8.67,0.81,23.43,58.69,0.79,1.64,14.79
2025-06-01 00:06:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1102.97,1173.44,1106.88,1145.24,1167.03,40.63,99.52,294.12,--,--,1.72,--,144.73,44.74,6.71,24.54,--,17.64,--,--,--,--,--,--,--,273026.59,--,--,1240.97,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:06:03,639666.75,2025.00,6.00,1.00,0.00,5.00,3.00,426.66,426.20,35.65,109.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.29,--,--,--,--,67.96,--,--,--,--,--,190.06,--,--,--,--,--,--,147.33,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:06:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:08:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1084.57,939.51,1146.22,1078.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.72,15.80,--,--,--,--,--,--,--,--,152.62,-0.32,20.18,8.99,0.56,21.33,61.78,0.19,1.60,13.98
2025-06-01 00:08:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1102.67,1174.56,1107.48,1136.19,1166.32,40.18,99.59,294.12,--,--,1.71,--,145.03,44.81,6.71,22.70,--,17.61,--,--,--,--,--,--,--,273026.59,--,--,1231.39,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:08:03,639666.75,2025.00,6.00,1.00,0.00,7.00,3.00,328.81,328.35,35.67,108.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.54,--,--,--,--,67.76,--,--,--,--,--,189.94,--,--,--,--,--,--,147.29,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:08:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:10:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1085.06,939.51,1151.60,1079.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.75,15.57,--,--,--,--,--,--,--,--,152.62,-0.30,20.03,9.21,0.56,18.91,62.88,0.15,1.36,13.23
2025-06-01 00:10:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1104.13,1173.54,1104.63,1135.18,1166.12,39.44,99.56,294.12,--,--,1.72,--,145.15,45.05,6.72,24.37,--,17.59,--,--,--,--,--,--,--,273026.59,--,--,1198.06,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:10:03,639672.25,2025.00,6.00,1.00,0.00,8.00,58.00,72.81,71.28,35.87,111.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.47,--,--,--,--,67.68,--,--,--,--,--,189.86,--,--,--,--,--,--,147.33,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:10:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:12:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1088.12,941.11,1160.34,1079.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.20,15.46,--,--,--,--,--,--,--,--,152.62,-0.34,20.16,8.87,0.94,22.01,61.78,3.46,1.69,14.07
2025-06-01 00:12:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1111.92,1173.47,1107.91,1142.79,1167.07,40.83,99.58,294.12,--,--,1.72,--,145.15,44.78,6.69,36.37,--,18.53,--,--,--,--,--,--,--,273026.59,--,--,1299.03,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:12:03,639672.25,2025.00,6.00,1.00,0.00,11.00,2.00,593.20,592.08,35.67,107.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.47,--,--,--,--,67.74,--,--,--,--,--,189.86,--,--,--,--,--,--,147.34,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:12:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:14:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1089.21,942.25,1156.15,1080.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.39,16.07,--,--,--,--,--,--,--,--,152.62,-0.29,20.38,8.45,0.99,33.22,57.12,20.27,1.63,13.65
2025-06-01 00:14:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1114.18,1173.47,1111.62,1145.08,1168.45,40.81,99.58,294.12,--,--,1.70,--,145.20,44.63,6.65,75.42,--,17.65,--,--,--,--,--,--,--,273030.00,--,--,1259.79,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:14:03,639672.25,2025.00,6.00,1.00,0.00,13.00,2.00,90.37,88.51,35.62,115.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.80,--,--,--,--,67.81,--,--,--,--,--,189.96,--,--,--,--,--,--,147.34,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:14:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:16:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1090.75,942.63,1153.92,1082.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.02,15.28,--,--,--,--,--,--,--,--,152.62,-0.30,20.37,8.67,0.28,30.56,59.23,3.27,1.86,13.73
2025-06-01 00:16:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1116.17,1176.29,1117.83,1157.03,1173.78,40.76,99.58,294.12,--,--,1.72,--,145.40,44.78,6.65,79.18,--,17.62,--,--,--,--,--,--,--,273030.00,--,--,1261.74,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:16:03,639672.25,2025.00,6.00,1.00,0.00,15.00,3.00,232.48,233.34,35.67,115.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,225.15,--,--,--,--,67.81,--,--,--,--,--,190.05,--,--,--,--,--,--,147.34,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:16:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:18:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1093.00,943.54,1160.54,1084.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.93,15.76,--,--,--,--,--,--,--,--,152.62,-0.31,20.17,8.84,1.00,31.21,62.90,0.39,2.03,13.80
2025-06-01 00:18:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1121.86,1181.43,1123.16,1148.84,1178.20,40.07,99.60,294.12,--,--,1.72,--,145.64,44.76,6.62,179.41,--,17.56,--,--,--,--,--,--,--,273030.00,--,--,1209.86,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:18:03,639672.25,2025.00,6.00,1.00,0.00,17.00,3.00,534.57,533.25,35.58,104.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,225.29,--,--,--,--,67.68,--,--,--,--,--,190.14,--,--,--,--,--,--,147.37,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:18:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:20:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1093.56,943.89,1158.21,1085.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.79,16.37,--,--,--,--,--,--,--,--,152.44,-0.31,20.03,8.86,0.56,28.81,62.89,0.28,2.16,14.38
2025-06-01 00:20:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1121.83,1182.31,1121.16,1139.98,1172.73,38.27,99.59,294.12,--,--,1.72,--,145.71,44.94,6.58,181.72,--,17.79,--,--,--,--,--,--,--,273030.00,--,--,1167.36,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:20:03,639672.25,2025.00,6.00,1.00,0.00,19.00,3.00,90.98,89.51,35.61,108.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,225.20,--,--,--,--,67.63,--,--,--,--,--,190.30,--,--,--,--,--,--,147.38,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:20:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:22:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1092.01,944.74,1165.20,1086.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.75,17.14,--,--,--,--,--,--,--,--,152.25,-0.33,19.91,9.14,0.75,19.60,66.60,0.22,1.97,12.55
2025-06-01 00:22:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1123.23,1182.93,1120.06,1147.33,1176.16,39.30,99.55,294.12,--,--,1.72,--,145.57,44.70,6.57,202.02,--,17.81,--,--,--,--,--,--,--,273030.00,--,--,1230.42,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:22:03,639672.25,2025.00,6.00,1.00,0.00,21.00,4.00,192.80,193.26,35.65,103.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.81,--,--,--,--,67.59,--,--,--,--,--,190.48,--,--,--,--,--,--,147.37,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:22:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:24:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1097.19,946.79,1177.28,1087.30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.75,18.10,--,--,--,--,--,--,--,--,152.06,-0.29,19.88,9.01,0.62,17.92,65.02,0.80,1.58,13.73
2025-06-01 00:24:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1129.47,1185.86,1122.53,1168.83,1183.44,38.12,99.59,294.12,--,--,1.71,--,145.31,44.63,6.56,202.59,--,17.75,--,--,--,--,--,--,--,273030.00,--,--,1167.15,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:24:03,639672.25,2025.00,6.00,1.00,0.00,22.00,48.00,483.16,481.92,35.63,111.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.51,--,--,--,--,67.63,--,--,--,--,--,190.60,--,--,--,--,--,--,147.26,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:24:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:26:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1100.59,949.60,1175.75,1088.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.54,17.98,--,--,--,--,--,--,--,--,151.88,-0.30,20.04,8.57,1.19,22.16,62.66,13.88,1.66,13.70
2025-06-01 00:26:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1135.69,1189.37,1130.24,1172.05,1188.08,40.31,99.62,294.12,--,--,1.72,--,144.93,44.81,6.54,207.37,--,18.56,--,--,--,--,--,--,--,273030.00,--,--,1234.44,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:26:03,639672.25,2025.00,6.00,1.00,0.00,24.00,53.00,412.16,411.42,35.63,113.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.46,--,--,--,--,67.68,--,--,--,--,--,190.71,--,--,--,--,--,--,147.12,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:26:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:28:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1102.08,950.80,1169.23,1090.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.74,18.29,--,--,--,--,--,--,--,--,151.69,-0.32,20.06,8.73,0.88,22.80,62.77,3.05,1.62,13.68
2025-06-01 00:28:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1135.69,1190.60,1132.41,1165.20,1186.95,39.68,99.62,294.12,--,--,1.72,--,144.69,44.53,6.54,204.50,--,18.62,--,--,--,--,--,--,--,273030.00,--,--,1211.94,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:28:03,639672.25,2025.00,6.00,1.00,0.00,27.00,1.00,47.10,46.38,35.63,116.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.67,--,--,--,--,67.66,--,--,--,--,--,190.68,--,--,--,--,--,--,146.95,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:28:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:30:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1101.19,951.18,1168.01,1092.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.58,17.53,--,--,--,--,--,--,--,--,151.69,-0.34,19.83,9.02,0.46,18.43,65.39,0.10,1.74,13.70
2025-06-01 00:30:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1134.21,1188.79,1131.24,1153.02,1184.12,39.24,99.61,294.12,--,--,1.71,--,144.52,45.45,6.54,205.89,--,18.13,--,--,--,--,--,--,--,273030.00,--,--,1190.76,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:30:03,639672.25,2025.00,6.00,1.00,0.00,28.00,57.00,356.50,355.12,35.65,114.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.69,--,--,--,--,67.49,--,--,--,--,--,190.64,--,--,--,--,--,--,146.83,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:30:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:32:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1101.02,951.78,1168.96,1093.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.61,16.74,--,--,--,--,--,--,--,--,151.69,-0.31,19.67,9.00,0.94,19.87,62.33,0.77,1.61,13.85
2025-06-01 00:32:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1132.84,1185.89,1127.80,1139.51,1177.31,39.75,99.61,294.12,--,--,1.72,--,144.28,40.51,6.55,198.60,--,18.60,--,--,--,--,--,--,--,273030.00,--,--,1227.64,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:32:03,639672.25,2025.00,6.00,1.00,0.00,31.00,3.00,464.41,463.17,35.75,109.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.54,--,--,--,--,67.44,--,--,--,--,--,190.60,--,--,--,--,--,--,146.70,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:32:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:34:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1100.99,952.03,1164.43,1092.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.39,17.57,--,--,--,--,--,--,--,--,151.50,-0.31,19.83,8.85,0.54,18.87,59.71,11.07,1.81,13.83
2025-06-01 00:34:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1128.97,1184.84,1124.70,1135.79,1174.15,39.44,99.56,294.12,--,--,1.71,--,144.26,40.81,6.55,187.09,--,18.56,--,--,--,--,--,--,--,273032.88,--,--,1209.58,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:34:03,639672.25,2025.00,6.00,1.00,0.00,33.00,2.00,6.04,4.51,35.58,102.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.35,--,--,--,--,67.49,--,--,--,--,--,190.60,--,--,--,--,--,--,146.59,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:34:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:36:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1100.23,951.84,1162.30,1092.40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.37,17.76,--,--,--,--,--,--,--,--,151.31,-0.31,19.73,8.94,0.32,19.24,59.41,1.69,1.58,13.27
2025-06-01 00:36:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1126.00,1186.06,1121.36,1131.04,1175.38,40.37,99.61,294.12,--,--,1.72,--,144.89,41.32,6.56,169.26,--,18.68,--,--,--,--,--,--,--,273032.88,--,--,1245.83,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:36:03,639672.25,2025.00,6.00,1.00,0.00,34.00,56.00,468.06,467.92,35.73,104.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.37,--,--,--,--,67.41,--,--,--,--,--,190.48,--,--,--,--,--,--,146.66,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:36:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:38:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1097.58,951.18,1158.71,1092.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.43,17.66,--,--,--,--,--,--,--,--,151.50,-0.30,19.62,9.14,0.62,18.53,64.47,0.81,1.93,14.80
2025-06-01 00:38:02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1122.03,1183.34,1116.60,1120.26,1165.71,40.00,99.56,294.12,--,--,1.72,--,145.91,41.01,6.56,135.94,--,18.50,--,--,--,--,--,--,--,273032.88,--,--,1207.01,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:38:03,639672.25,2025.00,6.00,1.00,0.00,36.00,59.00,253.41,252.61,35.58,107.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,224.69,--,--,--,--,67.23,--,--,--,--,--,190.30,--,--,--,--,--,--,146.92,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:38:04,--,--,--,--,--,--,--,--,--,--,--,0.00,1.00,--,--,--,--,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,--,--,--,--,--,0.00,0.00,--,--,--,0.00,0.00,--,0.00,0.00,--,--,--,--,--,--,--,--,--,--,--,--
2025-06-01 00:40:01,--,--,--,--,--,--,--,--,--,--,--,--,--,1093.46,950.36,1156.69,1090.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.33,17.71,--,--,--,--,--,--,--,--,151.66,-0.35,19.41,9.56,0.75,13.94,68.92,0.29,1.84,13.95
