数据时间,入炉垃圾量,推料器A位置,推料器B位置,一次风机频率反馈,一次风机电流反馈,A辅助燃烧器运行信号,B辅助燃烧器运行信号,上部烟气温度左,上部烟气温度中,上部烟气温度右,中部烟气温度左,中部烟气温度中,中部烟气温度右,下部烟气温度左,下部烟气温度中,下部烟气温度右,引风机变频器频率反馈,引风机入口调节风门位置反馈,消石灰累计,1#消石灰输送风机运行信号,备用消石灰输送风机运行信号,雾化器浆液流量,省煤器出口温度,反应塔温度,雾化器电流,减湿液PH值,湿法烧碱供应流量,湿法洗涤塔温度,SNCR分配柜氨水流量,SNCR-A氨水供应泵运行信号,SNCR-B氨水供应泵运行信号,NH3浓度,1#SCR氨水流量,SCR系统温度,SCR-A氨水供应泵运行信号,SCR-B氨水供应泵运行信号,活性炭称重累计,1#活性炭输送风机运行信号,备用活性炭输送风机运行信号,除尘器差压,除尘器灰斗温度,烟气温度,烟气压力,烟气含水量,烟气氧量,烟气烟尘,SO2浓度,NOX浓度,CO浓度,HCL浓度,烟气流速
2025-06-01 00:20:00,639672.25,90.98,89.51,35.61,108.19,0,1,1093.56,943.89,1158.21,1085.85,1121.83,1182.31,1121.16,1139.98,1172.73,38.27,99.59,294.12,0,0,1.72,225.2,145.71,44.94,6.58,181.72,67.63,17.79,0,0,8.79,16.37,190.3,0,0,273030,0,0,1167.36,147.38,152.44,-0.31,20.03,8.86,0.56,28.81,62.89,0.28,2.16,14.38
2025-06-01 00:22:00,639672.25,192.8,193.26,35.65,103.85,0,1,1092.01,944.74,1165.2,1086.64,1123.23,1182.93,1120.06,1147.33,1176.16,39.3,99.55,294.12,0,0,1.72,224.81,145.57,44.7,6.57,202.02,67.59,17.81,0,0,8.75,17.14,190.48,0,0,273030,0,0,1230.42,147.37,152.25,-0.33,19.91,9.14,0.75,19.6,66.6,0.22,1.97,12.55
2025-06-01 00:24:00,639672.25,483.16,481.92,35.63,111.33,0,1,1097.19,946.79,1177.28,1087.3,1129.47,1185.86,1122.53,1168.83,1183.44,38.12,99.59,294.12,0,0,1.71,224.51,145.31,44.63,6.56,202.59,67.63,17.75,0,0,8.75,18.1,190.6,0,0,273030,0,0,1167.15,147.26,152.06,-0.29,19.88,9.01,0.62,17.92,65.02,0.8,1.58,13.73
2025-06-01 00:26:00,639672.25,412.16,411.42,35.63,113.5,0,1,1100.59,949.6,1175.75,1088.48,1135.69,1189.37,1130.24,1172.05,1188.08,40.31,99.62,294.12,0,0,1.72,224.46,144.93,44.81,6.54,207.37,67.68,18.56,0,0,8.54,17.98,190.71,0,0,273030,0,0,1234.44,147.12,151.88,-0.3,20.04,8.57,1.19,22.16,62.66,13.88,1.66,13.7
2025-06-01 00:28:00,639672.25,47.1,46.38,35.63,116.01,0,1,1102.08,950.8,1169.23,1090.23,1135.69,1190.6,1132.41,1165.2,1186.95,39.68,99.62,294.12,0,0,1.72,224.67,144.69,44.53,6.54,204.5,67.66,18.62,0,0,8.74,18.29,190.68,0,0,273030,0,0,1211.94,146.95,151.69,-0.32,20.06,8.73,0.88,22.8,62.77,3.05,1.62,13.68
2025-06-01 00:30:00,639672.25,356.5,355.12,35.65,114.48,0,1,1101.19,951.18,1168.01,1092.11,1134.21,1188.79,1131.24,1153.02,1184.12,39.24,99.61,294.12,0,0,1.71,224.69,144.52,45.45,6.54,205.89,67.49,18.13,0,0,8.58,17.53,190.64,0,0,273030,0,0,1190.76,146.83,151.69,-0.34,19.83,9.02,0.46,18.43,65.39,0.1,1.74,13.7
2025-06-01 00:32:00,639672.25,464.41,463.17,35.75,109.31,0,1,1101.02,951.78,1168.96,1093,1132.84,1185.89,1127.8,1139.51,1177.31,39.75,99.61,294.12,0,0,1.72,224.54,144.28,40.51,6.55,198.6,67.44,18.6,0,0,8.61,16.74,190.6,0,0,273030,0,0,1227.64,146.7,151.69,-0.31,19.67,9,0.94,19.87,62.33,0.77,1.61,13.85
2025-06-01 00:34:00,639672.25,6.04,4.51,35.58,102.48,0,1,1100.99,952.03,1164.43,1092.96,1128.97,1184.84,1124.7,1135.79,1174.15,39.44,99.56,294.12,0,0,1.71,224.35,144.26,40.81,6.55,187.09,67.49,18.56,0,0,8.39,17.57,190.6,0,0,273032.88,0,0,1209.58,146.59,151.5,-0.31,19.83,8.85,0.54,18.87,59.71,11.07,1.81,13.83
2025-06-01 00:36:00,639672.25,468.06,467.92,35.73,104.68,0,1,1100.23,951.84,1162.3,1092.4,1126,1186.06,1121.36,1131.04,1175.38,40.37,99.61,294.12,0,0,1.72,224.37,144.89,41.32,6.56,169.26,67.41,18.68,0,0,8.37,17.76,190.48,0,0,273032.88,0,0,1245.83,146.66,151.31,-0.31,19.73,8.94,0.32,19.24,59.41,1.69,1.58,13.27
2025-06-01 00:38:00,639672.25,253.41,252.61,35.58,107.36,0,1,1097.58,951.18,1158.71,1092.01,1122.03,1183.34,1116.6,1120.26,1165.71,40,99.56,294.12,0,0,1.72,224.69,145.91,41.01,6.56,135.94,67.23,18.5,0,0,8.43,17.66,190.3,0,0,273032.88,0,0,1207.01,146.92,151.5,-0.3,19.62,9.14,0.62,18.53,64.47,0.81,1.93,14.8
2025-06-01 00:40:00,639672.25,350.46,347.35,35.75,112.93,0,1,1093.46,950.36,1156.69,1090.82,1119.47,1180.71,1113.28,1128.17,1163.31,39.56,99.64,294.12,0,0,1.72,224.8,147.03,40.6,6.59,98.44,66.98,18.51,0,0,8.33,17.71,190.22,0,0,273032.88,0,0,1195.76,147.34,151.66,-0.35,19.41,9.56,0.75,13.94,68.92,0.29,1.84,13.95
2025-06-01 00:42:00,639677.31,333.64,332,35.52,108.39,0,1,1094.68,950.2,1158.44,1089.77,1119.6,1177.99,1112.12,1134.85,1158.65,37.62,99.65,294.12,0,0,1.72,224.47,147.9,40.65,6.6,65.82,66.86,17.65,0,0,8.17,17.36,190.38,0,0,273032.88,0,0,1129.65,147.82,151.5,-0.32,19.09,9.51,1,13.35,69.16,0.69,1.87,13.31
2025-06-01 00:44:00,639677.31,170.86,171.4,35.58,103.65,0,1,1095.73,951.12,1160.74,1089.11,1120.5,1174.7,1111.82,1124.06,1154.53,38.3,99.56,294.12,0,0,1.72,224.14,148.58,40.61,6.6,36.66,66.94,17.68,0,0,7.8,16.59,190.56,0,0,273032.88,0,0,1122.22,148.33,151.31,-0.32,19.25,9.07,0.27,16.79,64.27,2.61,1.79,13.4
2025-06-01 00:46:00,639677.31,547.43,547.83,35.53,110.23,0,1,1097.02,951.78,1160.44,1088.42,1122.76,1171.37,1112.42,1147.97,1151.33,37.87,99.64,294.12,0,0,1.71,223.95,149.09,41.07,6.62,30.68,67.04,17.61,0,0,7.89,17.91,190.66,0,0,273032.88,0,0,1149.31,148.76,151.12,-0.32,19.32,9.02,1,18.01,61.43,5.74,1.98,12.48
2025-06-01 00:48:00,639677.31,356.64,356.18,35.8,114.02,0,1,1096.82,952.06,1158.04,1088.91,1125.83,1171.57,1115.87,1150.05,1153.92,38.05,99.59,294.12,0,0,1.72,223.73,149.33,41.08,6.62,28.92,67.13,17.61,0,0,7.73,17.19,190.68,0,0,273032.88,0,0,1133.06,149.09,150.94,-0.3,19.31,9.06,0.82,18.42,64.26,1.13,1.9,13.68
2025-06-01 00:50:00,639677.31,25.3,25.05,36.02,121.47,0,1,1094.68,951.69,1160.84,1088.81,1126.9,1171.06,1115.37,1157.13,1148.94,38.86,99.58,294.12,0,0,1.72,223.62,149.41,41.2,6.63,27.46,67.11,18.69,0,0,7.67,17.64,190.45,0,0,273032.88,0,0,1183.06,149.33,150.96,-0.3,19.25,9.26,0.62,17.71,66.33,0.55,2.04,13.8
2025-06-01 00:52:00,639677.31,263.1,262.61,36.2,120.17,0,1,1093.16,951.46,1159.59,1088.68,1127.46,1166.73,1114.34,1157.9,1142.05,40.01,99.52,294.12,0,0,1.72,223.7,149.51,40.41,6.64,36.18,67.04,17.56,0,0,7.57,17.99,190.17,0,0,273032.88,0,0,1223.47,149.53,150.94,-0.26,19.22,9.36,0.69,18.53,65.7,1.05,2.12,13.3
2025-06-01 00:54:00,639677.31,591.82,591.76,36.45,113.05,0,1,1091.84,950.93,1151.53,1088.12,1126.03,1164.93,1113.58,1139.51,1141.79,40.55,99.59,294.12,0,0,1.72,223.82,149.84,41.23,6.65,35.6,66.97,17.62,0,0,7.61,18.02,189.88,0,0,273035.91,0,0,1237.15,149.76,151.12,-0.27,19.21,9.41,0.62,16.6,64.2,3.03,2.11,13.4
2025-06-01 00:56:00,639677.31,122.9,122.12,36.78,112.58,0,1,1089.27,949.6,1144.94,1087.99,1121.93,1163.51,1110.53,1130.34,1143.33,41.51,99.64,294.12,0,0,1.72,224.17,150.3,41.04,6.64,27.27,66.81,17.65,0,0,7.61,17.38,189.52,0,0,273035.91,0,0,1308.82,150.01,151.31,-0.29,19.1,9.65,1.06,17.07,67.72,0.53,2.4,14.52
2025-06-01 00:58:00,639677.31,399.17,397.7,36.9,116.21,0,1,1085.85,947.36,1137.09,1087.2,1116.7,1164.7,1105.89,1131.84,1146.12,42.7,99.64,294.12,0,0,1.72,224.8,150.86,41.18,6.65,32.08,66.73,17.61,0,0,7.41,17.2,189.11,0,0,273035.91,0,0,1335,150.32,151.69,-0.29,19.19,9.61,0.75,19.8,71.64,0.23,2.36,15.06
2025-06-01 01:00:00,639677.31,331.25,330.27,37.09,125.27,0,1,1082.43,944.93,1125.9,1085.65,1112.19,1159.59,1102.77,1128.07,1141.65,42.31,99.53,294.12,0,0,1.72,225.55,151.55,41.09,6.64,74.82,66.73,17.65,0,0,7.43,16.51,188.75,0,0,273035.91,0,0,1329.17,150.72,152.06,-0.3,19.26,9.58,0.66,25,74.23,0.76,2.6,14.4
2025-06-01 01:02:00,639677.31,165.91,164.76,37.3,119.91,0,1,1079.8,942.31,1131.34,1083.81,1111.39,1161.42,1100.03,1149.11,1149.11,42.7,99.6,294.12,0,0,1.72,226.57,152.49,41.39,6.6,77.37,66.89,17.61,0,0,7.24,17.27,188.43,0,0,273035.91,0,0,1348.47,151.27,152.44,-0.32,19.61,9.55,0.75,26.21,73.53,0.87,3.1,14.52
2025-06-01 01:04:00,639677.31,503.06,501.53,37.25,128.32,0,1,1077.77,940.26,1132.14,1082.72,1107.97,1163.21,1095.9,1112.58,1150.42,44.14,99.56,294.12,0,0,1.72,227.51,153.56,41.26,6.57,155.78,67.02,18.56,0,0,7.25,16.79,188.33,0,0,273035.91,0,0,1438.19,151.85,153,-0.29,19.82,9.33,0.88,30.78,73.3,0.79,3.56,15.48
2025-06-01 01:06:00,639682,104.03,103.49,37.42,122.75,0,1,1076.03,937.65,1127.56,1080.98,1103.04,1159.69,1094.25,1131.84,1145.65,43.57,99.56,294.12,0,0,1.73,228.34,154.66,41.39,6.54,156.87,67.19,17.56,0,0,6.9,20.77,188.33,0,0,273035.91,0,0,1396.25,152.52,153.19,-0.37,19.93,9.41,0.44,31.12,77.83,1.17,3.84,14.5
2025-06-01 01:08:00,639682,428.24,427.52,37.52,130.43,0,1,1074.75,936.33,1129.37,1079.6,1104.63,1156.69,1094.74,1143.63,1144.04,43.83,99.57,294.12,0,0,1.73,229.2,155.82,41.11,6.52,203.23,67.3,18.5,0,0,6.66,20.2,188.39,0,0,273035.91,0,0,1405.76,153.26,153.56,-0.31,20.28,9.33,0.5,33,79.91,0.78,4.24,15.48
2025-06-01 01:10:00,639682,169.13,168.62,37.37,125.92,0,1,1075.96,935.7,1131.47,1078.88,1105.06,1155.24,1094.28,1131.77,1141.99,43.95,99.61,294.12,0,0,1.72,229.97,156.89,41.18,6.47,209.18,67.37,17.59,0,0,6.45,20.39,188.54,0,0,273039.59,0,0,1403.19,153.97,153.94,-0.31,20.62,9.13,0.56,36.91,80.37,1.04,4.54,15.02
2025-06-01 01:12:00,639687.06,424.73,423.61,37.12,117.82,0,1,1075.77,935.16,1127.7,1077.8,1102.91,1153.35,1092.4,1118.23,1138.8,42.63,99.56,294.12,0,0,1.72,230.53,157.91,40.89,6.45,208.27,67.37,17.65,0,0,6.31,19.74,188.85,0,0,273039.59,0,0,1350.21,154.74,154.12,-0.38,20.75,8.94,0.62,42.8,78.9,2.14,5,15.9
2025-06-01 01:14:00,639687.06,280.5,279.58,36.9,122.81,0,1,1073.83,933.27,1118.73,1076.62,1097.78,1150.56,1088.81,1114.28,1136.32,42.51,99.59,294.12,0,0,1.73,230.74,158.66,41.21,6.44,211.72,67.37,17.64,0,0,6.26,19.19,189.25,0,0,273039.59,0,0,1366.6,155.45,154.31,-0.38,20.71,9.05,0.31,39.8,75.63,0.89,5.33,15.32
2025-06-01 01:16:00,639692.12,168.36,167.29,36.72,114.55,0,1,1071.67,931.04,1121.1,1075.18,1093.89,1148.54,1086.57,1096.33,1137.13,41.68,99.57,294.12,0,0,1.73,230.67,159.09,40.96,6.41,215.71,67.38,17.64,0,0,5.98,19.27,189.71,0,0,273039.59,0,0,1338.12,156.06,154.31,-0.3,20.72,9.2,0.38,34.66,75.47,0.96,5.46,14.98
2025-06-01 01:18:00,639692.12,580.29,579.49,36.33,110.56,0,1,1071.02,929.37,1123.26,1074,1092.4,1146.25,1084.4,1083.05,1135.32,41,99.56,294.12,0,0,1.72,230.49,159.28,41.29,6.39,222.41,67.44,17.92,0,0,6.09,19.68,190.11,0,0,273039.59,0,0,1299.79,156.63,154.31,-0.29,20.72,9.05,0.38,38.39,70.45,5.92,5.51,14.52
2025-06-01 01:20:00,639696.56,137.07,136.96,36.07,103.81,0,1,1067.91,927.43,1121.66,1072.65,1087.23,1144.27,1079.83,1078.78,1133.85,41,99.58,294.12,0,0,1.72,230.27,159.29,40.89,6.39,223.47,67.59,17.62,0,0,5.92,20.54,190.45,0,0,273039.59,0,0,1339.44,157.05,154.12,-0.35,20.62,8.75,1.06,41.9,65.45,9.32,5.81,14.57
2025-06-01 01:22:00,639696.56,346.29,346.03,35.85,110.56,0,1,1064.31,924.07,1115.27,1070.43,1079.34,1140.78,1073.05,1081.61,1129.1,39.69,99.56,294.12,0,0,1.71,229.8,159.17,41.27,6.4,222.04,67.79,18.56,0,0,6.19,18.84,190.78,0,0,273039.59,0,0,1259.38,157.43,154.12,-0.36,20.59,8.93,0.62,31.73,63.23,2.57,5.5,14.57
2025-06-01 01:24:00,639700.75,555.3,555.05,35.65,112.77,0,1,1060.56,920.99,1116.17,1067.81,1077.6,1139.1,1070.62,1085.49,1128.6,39.31,99.53,294.12,0,0,1.71,229.08,158.78,41.18,6.41,219.59,67.94,18.55,0,0,6.26,20.32,190.94,0,0,273039.59,0,0,1228.75,157.64,153.75,-0.27,20.53,9.04,0.81,25.45,56.53,6.36,4.59,13.77
2025-06-01 01:26:00,639700.75,259.25,260.97,35.72,114.81,0,1,1058.9,919.23,1121,1065.59,1076.72,1138.7,1070.23,1082.95,1131.27,38.93,99.55,294.12,0,0,1.72,228.34,158.19,41.18,6.46,209.37,68.04,18.62,0,0,6.24,20.21,191,0,0,273039.59,0,0,1222.08,157.65,153.75,-0.31,20.57,8.84,0.12,27.36,50.62,14.66,4.08,13.25
2025-06-01 01:28:00,639700.75,143.92,141.85,35.7,108.2,0,1,1056.39,917.39,1118.83,1063.92,1074.29,1137.9,1069.64,1069.54,1130.87,38.43,99.66,294.12,0,0,1.72,227.77,157.56,41.05,6.47,192.69,68.04,19.59,0,0,6.54,18.66,190.98,0,0,273039.59,0,0,1169.72,157.56,153.56,-0.34,20.47,8.81,0.62,28.22,50.68,10.1,4.45,12.98
2025-06-01 01:30:00,639700.75,536.76,537.56,35.83,107.58,0,1,1053.1,914.79,1114.38,1062.29,1069.15,1134.15,1064.61,1070.13,1126.53,39.31,99.61,294.12,0,0,1.72,227.22,156.89,41.18,6.51,167.08,67.98,18.5,0,0,6.57,21,190.9,0,0,273042.53,0,0,1215.62,157.37,153.4,-0.33,20.32,9.05,0.73,26.96,52.78,3.47,4.37,13.95
2025-06-01 01:32:00,639700.75,407.51,406.64,36.1,114.09,0,1,1049.94,912.28,1114.78,1059.87,1067.42,1131.07,1062.29,1081.8,1123.66,39.43,99.61,294.12,0,0,1.72,226.91,156.34,41.25,6.54,140.53,68.04,18.63,0,0,6.68,19.44,190.53,0,0,273042.53,0,0,1243.96,157.17,153.38,-0.32,20.4,9.13,0.77,24.97,53.05,24.42,3.97,13.99
2025-06-01 01:34:00,639700.75,86.72,85.75,36.13,114.27,0,1,1049.45,911.62,1117.04,1057.95,1068.2,1130.57,1062.29,1081.87,1123.06,41.19,99.59,294.12,0,0,1.72,226.91,156.04,41.3,6.55,111.42,68.06,18.65,0,0,6.58,20.02,190.22,0,0,273042.53,0,0,1305.9,156.98,153.56,-0.29,20.64,8.83,0.75,35.09,45.42,54.68,4.08,13.52
2025-06-01 01:36:00,639700.75,312.5,311.32,36.27,116.55,0,1,1047.89,910.4,1114.08,1056.09,1066.34,1131.57,1061.51,1070.82,1123.06,40.19,99.6,294.12,0,0,1.71,227.14,156.02,40.99,6.54,102.72,68.04,17.59,0,0,6.79,20.58,190.02,0,0,273042.53,0,0,1259.72,156.85,153.75,-0.32,20.59,8.65,0.81,40.39,42.5,14.63,4.56,14.18
2025-06-01 01:38:00,639700.75,567.44,567.38,36.35,115.58,0,1,1046.27,908.56,1111.12,1054.76,1063.53,1131.77,1058.41,1079.08,1122.76,42.44,99.63,294.12,0,0,1.71,227.35,156.18,41.17,6.54,143.07,67.98,18.61,0,0,6.72,19.6,189.88,0,0,273042.53,0,0,1357.5,156.77,153.94,-0.36,20.5,9,0.38,37.2,50.58,1.86,4.99,13.62
2025-06-01 01:40:00,639700.75,179.48,178.82,36.47,117.33,0,1,1044.84,906.71,1109.17,1052.84,1061.9,1132.74,1055.34,1071.02,1124.06,41.12,99.52,294.12,0,0,1.71,227.53,156.38,41.04,6.56,90.36,68.01,18.59,0,0,6.65,20.13,189.76,0,0,273042.53,0,0,1280.42,156.77,154.12,-0.35,20.52,9.09,0.69,37.73,54.4,0.93,5.01,14.5
2025-06-01 01:42:00,639700.75,198.95,196.45,36.57,129.52,0,1,1042.15,904.77,1107.21,1051.08,1060.27,1131.87,1054.46,1071.57,1123.46,42.94,99.61,294.12,0,0,1.71,227.77,156.65,41.2,6.52,93.37,68.01,18.59,0,0,6.58,19.08,189.6,0,0,273042.53,0,0,1381.53,156.78,154.31,-0.3,20.55,9.21,0.56,35.81,55.41,1.1,5.13,14.5
2025-06-01 01:44:00,639700.75,558.44,557.49,36.72,112.87,0,1,1041.27,903.37,1110.16,1049.36,1058.5,1129.5,1053.1,1067.91,1122.86,42.19,99.61,294.12,0,0,1.72,228.21,157.14,41.27,6.54,99.47,68.04,18.59,0,0,6.49,18.92,189.45,0,0,273042.53,0,0,1338.54,156.89,154.5,-0.37,20.69,9.2,0.69,37.42,59.38,1.19,5.26,14.48
2025-06-01 01:46:00,639700.75,7.22,7.1,36.77,124.26,0,1,1041.86,902.81,1111.82,1047.89,1063.07,1130.67,1056.78,1102.31,1124.13,43.58,99.53,294.12,0,0,1.72,228.76,157.83,41.18,6.52,179.02,68.15,18.59,0,0,6.59,19.5,189.45,0,0,273046.19,0,0,1370.14,157.12,154.69,-0.36,20.89,8.94,1,50.79,59.58,3.18,5.69,15.18
2025-06-01 01:48:00,639700.75,565.51,565.66,36.57,117.51,0,1,1044.35,903.37,1110.83,1047.63,1067.02,1132.74,1058.7,1098.28,1123.66,42.75,99.63,294.12,0,0,1.7,229.28,158.5,41.06,6.47,146.34,68.21,17.61,0,0,6.31,20.61,189.5,0,0,273046.19,0,0,1375.9,157.35,154.88,-0.36,21.02,8.76,0.69,61.47,58.16,1.9,6.31,14.45
2025-06-01 01:50:00,639700.75,212.87,213.13,36.47,122.43,0,1,1045.39,904.02,1110.66,1047.63,1070.13,1132.34,1062.68,1102.81,1122.16,42.33,99.62,294.12,0,0,1.72,229.61,159.06,41.18,6.42,182.89,68.23,18.51,0,0,6.12,20.08,189.6,0,0,273046.19,0,0,1328.26,157.64,155.06,-0.32,20.97,8.94,0.5,62.38,63.92,0.88,6.72,15
2025-06-01 01:52:00,639700.75,182.73,182.33,36.37,121.82,0,1,1048.87,905.59,1116.44,1048.19,1075.08,1134.75,1068.5,1114.48,1125.23,42.32,99.58,294.12,0,0,1.71,229.87,159.55,40.95,6.41,198.56,68.31,18.54,0,0,6.02,19.74,189.79,0,0,273046.19,0,0,1333.82,157.91,155.06,-0.29,21.07,8.7,0.44,75.64,64.2,2.89,7.02,14.64
2025-06-01 01:54:00,639700.75,491.53,490.72,36.3,110.28,0,1,1051.96,907.27,1121.66,1049.75,1080.33,1139.1,1071.77,1119.5,1130.67,41.26,99.55,294.12,0,0,1.71,229.94,159.88,44.01,6.35,236.71,68.23,17.58,0,0,6.05,20.23,189.96,0,0,273046.19,0,0,1281.46,158.11,155.25,-0.27,21.01,8.63,0.38,90.19,61.71,2.17,7.37,14.52
2025-06-01 01:56:00,639700.75,424.87,424.07,36.17,121.19,0,1,1054.27,908.74,1118.83,1051.08,1082.95,1143.36,1073.64,1106.02,1132.84,39.68,99.64,294.12,0,0,2.13,229.68,159.29,48.12,6.35,241.82,68.06,17.53,0,0,5.92,19.11,190.17,0,0,273046.19,0,0,1201.25,158.19,155.06,-0.3,20.65,9,0.62,80.87,64.94,0.94,8.04,13.7
2025-06-01 01:58:00,639700.75,188.37,186.96,36.3,109.62,0,1,1055.77,909.28,1121.06,1052.22,1082.82,1144.64,1072.92,1107.58,1132.41,40.94,99.53,294.12,0,0,2.14,229.13,157.22,48.08,6.39,241.07,67.98,18.56,0,0,5.96,20.7,190.28,0,0,273046.19,0,0,1274.51,157.82,155.06,-0.3,20.47,9.26,0.31,42.57,67.04,0.41,6.68,13.85
2025-06-01 02:00:00,639700.75,68.38,68.44,36.33,112.75,0,1,1056.06,910.03,1126.4,1053.26,1084.66,1148.13,1074.06,1111.89,1135.79,40.28,99.59,294.12,0,0,2.14,228.54,154.58,48.1,6.43,236.67,67.87,17.59,0,0,6.47,19.94,190.2,0,0,273046.19,0,0,1215.35,156.9,154.73,-0.29,20.33,9.43,0.75,17.4,67.78,0.66,3.73,14.38
2025-06-01 02:02:00,639707,345.71,345.51,36.5,124.15,0,1,1057.2,910.43,1129.03,1053.72,1085.82,1151.67,1074.03,1109,1141.62,39.94,99.62,294.12,0,0,1.83,228.06,152.44,45.42,6.52,232.87,67.74,18.54,0,0,6.67,19.27,190.02,0,0,273046.19,0,0,1196.6,155.94,154.69,-0.34,20.19,9.28,1.11,12.8,67.19,1.14,2.74,13.75
