数据时间,改1#垃圾实时重量,改2#垃圾实时重量,DCS系统时间 时,DCS系统时间 分,DCS系统时间 秒,推料器1列1#小车位置,推料器1列2#小车位置,推料器2列1#小车位置,推料器2列2#小车位置,辅助燃烧器运行信号,炉膛上部温度,炉膛中部温度,,炉膛压力,,一次风机频率反馈,一次风机电流反馈,一次风机运行信号,二次风机频率反馈,二次风机电流反馈,二次风机运行信号,引风机频率反馈,引风机电流反馈,引风门开度反馈,引风机运行信号,氢氧化钙喷射量,氢氧化钙称重,氢氧化钙电机运行信号/开关阀信号_1,氢氧化钙电机运行信号/开关阀信号_2,半干法石灰浆浓度,半干法雾化石灰浆流量,半干法生石灰称重,半干法反应塔温度,雾化石灰浆电机运行信号_1,雾化石灰浆电机运行信号_2,SNCR还原剂流量,SNCR炉膛出口温度,SNCR运行信号,1#活性炭重量累计,2#活性炭重量累计,活性炭电机运行信号,布袋除尘进出口压差,布袋除尘器温度,布袋除尘器运行信号,烟气温度,烟气压力,烟气流量,烟气湿度,烟气O2,烟气粉尘,烟气SO2,烟气Nox,烟气CO,烟气HCL
2025-05-23 00:20:00,0.00,0.00,0.00,19.00,59.00,1098.00,1080.00,1119.00,1072.00,0.00,992.48,920.87,956.675,-51.72,,26.76,83.45,1.00,2.34,37.29,1.00,29.44,7.11,83.99,1.00,4.91,52233.11,1.00,0.00,1439.81,1.98,43862.89,133.80,1.00,1.00,78.50,921.05,1.00,0.00,42088.99,1.00,1335.28,126.69,1.00,124.50,-51.72,37615.03,20.46,10.98,3.81,21.52,69.23,0.04,4.58
2025-05-23 00:22:00,0.00,3.50,0.00,21.00,59.00,857.00,834.00,636.00,576.00,0.00,992.00,921.84,956.92,-33.09,,26.75,83.56,1.00,2.26,34.18,1.00,30.34,6.82,83.99,1.00,4.92,52233.27,1.00,0.00,1435.74,1.96,43862.95,132.65,1.00,1.00,37.70,921.84,1.00,0.00,42088.99,1.00,1381.81,126.35,1.00,124.34,-33.09,37809.89,21.28,10.76,3.71,18.91,105.02,0.04,4.37
2025-05-23 00:24:00,0.00,0.10,0.00,23.00,59.00,0.00,-23.00,1.00,-20.00,0.00,991.84,924.44,958.14,-43.52,,26.83,83.25,1.00,2.31,33.82,1.00,29.70,7.38,83.97,1.00,4.90,52233.43,1.00,0.00,1435.74,1.95,43863.02,131.83,1.00,1.00,202.78,924.44,1.00,0.00,42088.99,1.00,1350.97,126.00,1.00,124.26,-43.52,37166.89,20.80,10.65,3.72,17.38,118.15,0.07,4.13
2025-05-23 00:26:00,0.00,3.60,0.00,25.00,59.00,244.00,219.00,284.00,253.00,0.00,991.81,926.86,959.335,-44.25,,26.72,83.80,1.00,2.29,32.97,1.00,30.07,7.97,83.99,1.00,4.91,52233.59,1.00,0.00,1436.53,1.94,43863.09,131.22,1.00,1.00,120.87,926.86,1.00,0.00,42088.99,1.00,1369.65,125.65,1.00,124.06,-44.25,37685.64,21.58,10.74,4.22,20.10,103.63,0.04,4.09
2025-05-23 00:28:00,0.00,5.10,0.00,27.00,59.00,286.00,260.00,301.00,268.00,0.00,991.72,932.52,962.12,-33.95,,26.84,83.79,1.00,2.34,59.38,1.00,29.59,7.15,83.99,1.00,4.89,52233.76,1.00,0.00,1437.78,1.97,43863.15,130.69,1.00,1.00,25.33,932.52,1.00,0.00,42088.99,1.00,1329.51,125.28,1.00,123.94,-33.95,37000.02,20.87,10.72,4.12,21.58,83.69,0.04,3.93
2025-05-23 00:30:00,0.00,3.60,0.00,29.00,59.00,496.00,471.00,548.00,508.00,0.00,991.14,937.87,964.505,-42.53,,26.85,82.99,1.00,2.27,62.39,1.00,29.72,7.05,84.00,1.00,4.94,52233.92,1.00,0.00,1437.18,1.95,43863.21,130.16,1.00,1.00,175.57,937.87,1.00,0.00,42088.99,1.00,1347.01,124.91,1.00,123.62,-42.53,37615.29,20.63,10.87,4.23,15.95,112.84,0.04,4.36
2025-05-23 00:32:00,0.00,3.60,0.00,31.00,59.00,562.00,535.00,567.00,524.00,0.00,989.86,938.84,964.35,-50.54,,26.77,83.14,1.00,2.31,44.73,1.00,29.20,6.65,83.99,1.00,4.91,52234.05,1.00,0.00,1438.43,1.96,43863.27,129.85,1.00,1.00,129.63,938.75,1.00,0.00,42088.99,1.00,1321.04,124.64,1.00,123.51,-50.54,36485.10,20.85,10.88,4.14,24.28,129.95,0.04,3.98
2025-05-23 00:34:00,0.00,3.60,0.00,33.00,39.00,562.00,535.00,567.00,524.00,0.00,989.32,935.44,962.38,-27.37,,26.79,83.57,1.00,2.33,63.07,1.00,29.27,6.91,83.98,1.00,4.91,52234.23,1.00,0.00,1437.78,1.98,43863.34,129.31,1.00,1.00,173.06,935.85,1.00,0.00,42088.99,1.00,1328.82,124.28,1.00,123.28,-27.37,37001.19,20.40,11.19,4.25,14.38,97.82,0.04,3.94
2025-05-23 00:36:00,0.00,3.60,0.00,35.00,49.00,827.00,803.00,839.00,789.00,0.00,988.30,933.84,961.07,-47.98,,26.81,83.37,1.00,2.38,50.47,1.00,29.13,6.19,83.98,1.00,4.89,52234.41,1.00,0.00,1435.14,2.02,43863.41,128.74,1.00,1.00,16.65,934.63,1.00,0.00,42088.99,1.00,1321.60,123.90,1.00,122.97,-47.98,37215.91,20.28,10.99,4.02,13.96,66.89,0.07,3.64
2025-05-23 00:38:00,0.00,3.60,0.00,37.00,59.00,1010.00,989.00,1051.00,999.00,0.00,987.63,930.88,959.255,-49.28,,26.82,82.89,1.00,2.24,56.86,1.00,29.32,6.59,83.99,1.00,4.88,52234.57,1.00,0.00,1435.14,2.01,43863.48,128.13,1.00,1.00,101.85,930.88,1.00,0.00,42088.99,1.00,1327.71,123.56,1.00,122.85,-49.28,37482.16,21.04,10.98,3.86,13.51,107.41,0.04,3.80
2025-05-23 00:40:00,0.00,3.60,0.00,39.00,59.00,1102.00,1080.00,1116.00,1058.00,0.00,986.99,931.48,959.235,-45.31,,26.83,83.12,1.00,2.38,67.91,1.00,29.39,8.06,83.99,1.00,4.92,52234.74,1.00,0.00,1436.53,1.74,43863.54,127.94,1.00,1.00,57.80,931.67,1.00,0.00,42088.99,1.00,1324.58,123.27,1.00,122.48,-45.31,36686.90,20.83,10.90,3.41,15.30,90.72,0.07,3.87
2025-05-23 00:42:00,0.00,3.60,0.00,41.00,59.00,1102.00,1080.00,1116.00,1057.00,0.00,986.58,932.11,959.345,-50.79,,26.76,83.70,1.00,2.36,69.90,1.00,30.11,7.01,83.97,1.00,4.91,52234.90,1.00,0.00,1437.18,1.75,43863.60,128.44,1.00,1.00,25.83,932.11,1.00,0.00,42088.99,1.00,1383.47,122.95,1.00,122.15,-50.79,38557.70,20.81,10.85,3.70,15.29,80.84,0.04,3.20
2025-05-23 00:44:00,0.00,4.80,0.00,43.00,59.00,207.00,192.00,13.00,-21.00,0.00,986.10,937.40,961.75,-39.66,,26.75,83.58,1.00,2.31,60.36,1.00,29.40,7.63,83.99,1.00,4.90,52235.06,1.00,0.00,1438.43,1.77,43863.66,129.22,1.00,1.00,152.31,937.40,1.00,0.00,42088.99,1.00,1332.64,122.70,1.00,122.17,-39.66,37518.80,20.43,10.78,3.61,15.23,93.08,0.04,3.43
2025-05-23 00:46:00,0.00,4.80,0.00,45.00,59.00,0.00,-14.00,1.00,-21.00,0.00,985.56,936.01,960.785,-21.22,,26.83,83.31,1.00,2.26,47.45,1.00,29.58,7.23,83.99,1.00,4.90,52235.23,1.00,0.00,1437.64,1.75,43863.71,129.76,1.00,1.00,127.80,936.10,1.00,0.00,42088.99,1.00,1356.18,122.58,1.00,121.96,-21.22,37131.67,21.34,10.79,3.80,18.54,84.86,0.07,3.49
2025-05-23 00:48:00,0.00,6.10,0.00,47.00,59.00,0.00,-14.00,0.00,-21.00,0.00,984.12,938.03,961.075,-50.12,,26.80,83.54,1.00,2.30,41.36,1.00,29.88,7.41,83.97,1.00,4.92,52235.39,1.00,0.00,1435.28,1.75,43863.77,130.08,1.00,1.00,46.70,938.03,1.00,0.00,42088.99,1.00,1358.12,122.49,1.00,121.74,-50.12,38240.28,20.26,11.19,4.31,16.73,78.43,0.07,3.82
2025-05-23 00:50:00,0.00,0.70,0.00,49.00,59.00,279.00,267.00,288.00,263.00,0.00,982.66,945.91,964.285,25.19,,26.86,82.58,1.00,2.40,41.92,1.00,31.84,9.28,83.96,1.00,4.93,52235.55,1.00,0.00,1437.18,1.75,43863.83,130.86,1.00,1.00,124.30,945.81,1.00,0.00,42088.99,1.00,1498.54,122.44,1.00,121.85,25.19,39537.12,22.52,10.31,4.35,18.29,106.62,0.04,3.11
2025-05-23 00:52:00,0.00,0.10,0.00,51.00,59.00,278.00,267.00,288.00,263.00,0.00,982.75,946.54,964.645,-63.21,,26.80,82.84,1.00,2.36,62.52,1.00,30.03,7.21,83.96,1.00,4.92,52235.71,1.00,0.00,1436.39,1.72,43863.89,132.22,1.00,1.00,29.56,946.54,1.00,0.00,42088.99,1.00,1366.94,122.50,1.00,121.85,-63.21,36076.54,24.19,9.38,4.28,22.54,115.24,0.06,3.60
2025-05-23 00:54:00,0.00,3.60,0.00,53.00,59.00,552.00,544.00,563.00,533.00,0.00,982.85,948.56,965.705,-32.70,,26.86,83.18,1.00,2.22,51.79,1.00,30.14,7.31,83.99,1.00,4.89,52235.88,1.00,0.00,1436.39,1.74,43863.95,132.95,1.00,1.00,62.83,948.56,1.00,0.00,42088.99,1.00,1380.76,122.69,1.00,121.84,-32.70,36822.35,23.80,10.20,4.54,14.52,119.45,0.07,3.65
2025-05-23 00:56:00,0.00,5.00,0.00,55.00,59.00,552.00,544.00,563.00,533.00,0.00,982.88,952.44,967.66,-40.92,,26.72,83.28,1.00,2.33,62.53,1.00,30.19,6.91,83.98,1.00,4.89,52236.04,1.00,0.00,1435.93,1.72,43864.00,133.51,1.00,1.00,95.19,952.44,1.00,0.00,42088.99,1.00,1371.04,122.86,1.00,121.96,-40.92,37242.85,22.92,9.77,3.88,11.54,112.86,0.06,3.10
2025-05-23 00:58:00,0.00,2.20,0.00,57.00,59.00,819.00,816.00,837.00,802.00,0.00,983.23,958.20,970.715,-39.09,,26.79,82.76,1.00,2.24,40.86,1.00,30.19,7.24,84.00,1.00,4.90,52236.18,1.00,0.00,1441.11,1.75,43864.05,133.85,1.00,1.00,169.76,957.44,1.00,0.00,42088.99,1.00,1385.76,123.02,1.00,122.10,-39.09,37566.77,22.85,9.86,4.24,13.09,135.29,0.04,3.47
2025-05-23 01:00:00,0.00,2.20,0.00,59.00,39.00,819.00,816.00,837.00,802.00,0.00,983.80,968.22,976.01,-40.00,,26.78,83.35,1.00,2.27,38.34,1.00,30.12,6.74,83.99,1.00,4.89,52236.36,1.00,0.00,1437.78,1.75,43864.12,134.22,1.00,1.00,115.11,967.55,1.00,0.00,42088.99,1.00,1402.29,123.21,1.00,122.17,-40.00,35195.60,22.80,9.74,3.88,19.75,118.29,0.04,3.61
2025-05-23 01:02:00,0.00,3.60,1.00,1.00,49.00,1083.00,1086.00,1113.00,1076.00,0.00,983.80,972.70,978.25,-41.67,,26.82,83.26,1.00,2.29,55.57,1.00,30.38,6.91,83.97,1.00,4.89,52236.53,1.00,0.00,1435.74,1.75,43864.18,134.53,1.00,1.00,78.50,972.70,1.00,0.00,42088.99,1.00,1404.93,123.39,1.00,122.15,-41.67,37101.54,22.37,10.22,4.01,14.12,105.28,0.07,3.72
2025-05-23 01:04:00,0.00,3.60,1.00,3.00,59.00,1083.00,1086.00,1113.00,1076.00,0.00,983.58,975.40,979.49,-23.62,,26.87,83.02,1.00,2.32,39.70,1.00,30.79,7.51,84.00,1.00,4.88,52236.70,1.00,0.00,1438.56,1.70,43864.24,134.90,1.00,1.00,127.59,975.40,1.00,0.00,42088.99,1.00,1431.25,123.60,1.00,122.38,-23.62,37311.44,23.94,10.07,4.29,14.95,121.15,0.04,3.05
2025-05-23 01:06:00,0.00,3.60,1.00,5.00,59.00,530.00,544.00,281.00,244.00,0.00,983.96,981.38,982.67,-49.43,,26.85,82.83,1.00,2.20,33.36,1.00,30.30,6.54,83.99,1.00,4.91,52236.86,1.00,0.00,1437.82,1.74,43864.30,135.35,1.00,1.00,107.98,981.22,1.00,0.00,42088.99,1.00,1401.67,123.79,1.00,122.53,-49.43,36819.41,23.70,9.55,3.94,17.50,128.59,0.04,3.55
2025-05-23 01:08:00,0.00,0.10,1.00,7.00,59.00,-14.00,2.00,0.00,-21.00,0.00,985.88,981.76,983.82,-43.17,,26.80,83.30,1.00,2.32,32.21,1.00,30.45,6.55,83.97,1.00,4.90,52237.02,1.00,0.00,1435.14,1.73,43864.35,135.80,1.00,1.00,86.87,981.76,1.00,0.00,42088.99,1.00,1419.44,123.99,1.00,122.64,-43.17,36429.10,24.48,9.70,3.90,20.22,143.91,0.07,3.59
2025-05-23 01:10:00,0.00,0.10,1.00,9.00,59.00,-14.00,2.00,0.00,-21.00,0.00,988.43,989.23,988.83,-31.10,,26.82,83.34,1.00,2.21,32.05,1.00,30.47,6.74,83.99,1.00,4.91,52237.19,1.00,0.00,1437.78,1.73,43864.41,136.24,1.00,1.00,95.43,989.32,1.00,0.00,42088.99,1.00,1399.72,124.23,1.00,122.85,-31.10,36385.94,24.52,9.21,3.79,22.08,148.42,0.04,3.65
2025-05-23 01:12:00,0.00,0.20,1.00,11.00,59.00,268.00,289.00,290.00,269.00,0.00,991.81,989.67,990.74,-53.80,,26.87,82.57,1.00,2.28,34.64,1.00,30.67,8.33,83.98,1.00,4.88,52237.35,1.00,0.00,1438.56,1.74,43864.47,136.67,1.00,1.00,93.85,989.67,1.00,0.00,42088.99,1.00,1417.85,124.45,1.00,123.04,-53.80,37109.59,24.20,9.11,3.63,17.60,150.31,0.06,3.55
2025-05-23 01:14:00,0.00,0.20,1.00,13.00,59.00,268.00,289.00,290.00,269.00,0.00,995.55,987.57,991.56,-19.34,,26.85,82.60,1.00,2.22,33.43,1.00,30.70,7.74,83.99,1.00,4.90,52237.51,1.00,0.00,1438.56,1.75,43864.53,137.24,1.00,1.00,19.04,987.57,1.00,0.00,42088.99,1.00,1417.64,124.71,1.00,123.28,-19.34,36165.73,25.90,8.88,3.27,16.35,151.97,0.04,4.11
2025-05-23 01:16:00,0.00,0.30,1.00,15.00,59.00,268.00,289.00,290.00,268.00,0.00,1000.00,988.88,994.44,-52.42,,26.74,83.03,1.00,2.31,62.19,1.00,30.60,8.44,83.97,1.00,4.89,52237.68,1.00,0.00,1435.14,1.73,43864.58,137.51,1.00,1.00,36.70,988.84,1.00,0.00,42088.99,1.00,1415.00,124.99,1.00,123.40,-52.42,36393.64,24.39,9.07,3.36,24.34,156.99,0.06,3.97
2025-05-23 01:18:00,0.00,0.30,1.00,17.00,59.00,534.00,557.00,565.00,541.00,0.00,1004.39,989.35,996.87,-41.36,,26.81,83.46,1.00,2.30,59.22,1.00,30.68,8.23,83.97,1.00,4.89,52237.84,1.00,0.00,1438.56,1.73,43864.64,137.75,1.00,1.00,21.00,989.35,1.00,0.00,42088.99,1.00,1437.99,125.24,1.00,123.51,-41.36,36841.34,24.64,8.79,3.73,23.09,185.62,0.04,3.88
2025-05-23 01:20:00,0.00,0.40,1.00,19.00,59.00,533.00,557.00,565.00,541.00,0.00,1008.18,991.33,999.755,-38.25,,26.87,82.88,1.00,2.29,63.05,1.00,30.42,6.81,84.00,1.00,4.89,52238.00,1.00,0.00,1437.82,1.73,43864.70,138.06,1.00,1.00,413.98,991.33,1.00,0.00,42088.99,1.00,1413.96,125.48,1.00,123.58,-38.25,35780.91,25.02,8.53,3.35,23.64,186.96,0.06,3.41
2025-05-23 01:22:00,0.00,0.40,1.00,21.00,59.00,673.00,702.00,709.00,703.00,0.00,1012.54,992.04,1002.29,1.12,,26.89,82.53,1.00,15.36,37.65,1.00,32.16,8.82,83.99,1.00,4.90,52238.16,1.00,0.00,1435.14,1.72,43864.76,138.50,1.00,1.00,168.15,992.04,1.00,0.00,42088.99,1.00,1525.42,125.73,1.00,123.51,1.12,37788.12,26.16,8.15,3.75,16.82,157.58,0.06,3.93
2025-05-23 01:24:00,0.00,0.40,1.00,23.00,59.00,805.00,833.00,830.00,807.00,0.00,1016.92,978.64,997.78,-59.64,,26.84,82.96,1.00,15.38,37.72,1.00,31.69,7.24,84.00,1.00,4.89,52238.30,1.00,0.00,1433.89,1.75,43864.80,139.28,1.00,1.00,155.37,980.94,1.00,0.00,42088.99,1.00,1235.83,126.06,1.00,123.65,-59.64,40025.31,27.15,7.63,9.46,57.78,167.12,0.06,4.04
2025-05-23 01:26:00,0.00,0.40,1.00,25.00,39.00,805.00,833.00,830.00,807.00,0.00,1020.11,969.01,994.56,-43.18,,26.86,83.17,1.00,10.24,36.69,1.00,31.39,6.95,83.97,1.00,4.88,52238.48,1.00,0.00,1437.18,3.46,43864.90,140.74,1.00,1.00,48.43,968.88,1.00,0.00,42088.99,1.00,1231.39,127.19,1.00,124.40,-43.18,41116.58,24.48,9.17,4.72,144.94,168.15,0.06,6.98
2025-05-23 01:28:00,0.00,0.50,1.00,27.00,49.00,982.00,1013.00,1030.00,1015.00,0.00,1023.01,970.35,996.68,-44.87,,26.85,82.97,1.00,10.25,36.63,1.00,30.91,8.83,83.99,1.00,4.89,52238.66,1.00,0.00,1435.14,3.59,43865.03,138.03,1.00,1.00,360.02,970.79,1.00,0.00,42088.99,1.00,1198.19,127.72,1.00,124.81,-44.87,38096.00,28.51,8.48,4.04,26.32,174.08,0.06,4.65
2025-05-23 01:30:00,0.00,0.50,1.00,29.00,59.00,1075.00,1104.00,1094.00,1075.00,0.00,1026.20,970.12,998.16,-41.02,,26.80,83.58,1.00,10.24,36.63,1.00,31.30,7.74,83.99,1.00,4.91,52238.82,1.00,0.00,1437.18,3.59,43865.15,133.99,1.00,1.00,283.26,970.12,1.00,0.00,42088.99,1.00,1224.86,127.14,1.00,124.83,-41.02,40394.96,27.42,8.49,4.65,10.61,172.31,0.06,3.59
2025-05-23 01:32:00,0.00,7.30,1.00,31.00,59.00,1074.00,1104.00,1094.00,1075.00,0.00,1028.62,971.74,1000.18,-58.72,,26.85,83.14,1.00,10.23,36.39,1.00,29.24,7.24,83.99,1.00,4.90,52238.98,1.00,0.00,1436.53,3.60,43865.27,130.79,1.00,1.00,151.09,971.74,1.00,0.00,42088.99,1.00,876.74,126.18,1.00,124.38,-58.72,38988.71,28.91,7.91,28.62,33.68,160.76,0.06,3.08
2025-05-23 01:34:00,0.00,7.00,1.00,33.00,59.00,1117.00,1153.00,1062.00,1049.00,0.00,1030.62,977.05,1003.835,-59.12,,26.78,82.89,1.00,10.25,36.57,1.00,28.59,6.81,83.99,1.00,4.87,52239.14,1.00,0.00,1437.31,3.60,43865.39,128.25,1.00,1.00,14.44,977.05,1.00,0.00,42088.99,1.00,863.47,125.21,1.00,123.96,-59.12,40189.23,26.81,8.78,5.07,20.12,158.54,0.04,2.96
2025-05-23 01:36:00,0.00,0.10,1.00,35.00,59.00,-16.00,2.00,0.00,-1.00,0.00,1032.34,983.13,1007.735,-50.42,,26.80,82.96,1.00,10.25,36.50,1.00,28.18,6.97,83.99,1.00,4.88,52239.31,1.00,0.00,1439.21,3.58,43865.51,126.40,1.00,1.00,258.67,983.13,1.00,0.00,42088.99,1.00,865.49,123.95,1.00,123.18,-50.42,38474.48,28.10,8.48,4.20,17.15,182.80,0.06,2.30
2025-05-23 01:38:00,0.00,0.10,1.00,37.00,59.00,-16.00,2.00,0.00,-1.00,0.00,1033.50,994.27,1013.885,-45.80,,26.86,83.12,1.00,10.23,36.54,1.00,28.47,7.02,83.99,1.00,4.91,52239.47,1.00,0.00,1436.53,3.55,43865.63,124.72,1.00,1.00,70.07,994.27,1.00,0.00,42088.99,1.00,861.81,122.58,1.00,122.29,-45.80,38900.32,27.45,8.66,4.58,13.15,165.90,0.06,2.71
2025-05-23 01:40:00,0.00,0.10,1.00,39.00,59.00,-16.00,2.00,0.00,-1.00,0.00,1034.73,990.76,1012.745,-49.98,,26.87,83.01,1.00,20.62,41.30,1.00,28.65,7.06,83.97,1.00,4.88,52239.63,1.00,0.00,1435.79,2.15,43865.71,123.94,1.00,1.00,311.72,990.76,1.00,0.00,42088.99,1.00,721.74,121.44,1.00,121.51,-49.98,40561.84,28.54,8.18,39.78,35.17,185.56,0.04,1.85
2025-05-23 01:42:00,0.00,0.10,1.00,41.00,59.00,270.00,285.00,276.00,277.00,0.00,1035.51,981.22,1008.365,-53.27,,26.87,83.08,1.00,20.60,41.32,1.00,29.11,6.75,83.97,1.00,4.89,52239.80,1.00,0.00,1437.18,2.14,43865.79,126.58,1.00,1.00,240.56,981.22,1.00,0.00,42088.99,1.00,751.74,121.73,1.00,121.40,-53.27,42301.21,24.67,8.98,5.26,142.76,176.17,0.06,2.64
2025-05-23 01:44:00,0.00,0.10,1.00,43.00,59.00,270.00,285.00,276.00,277.00,0.00,1036.38,982.18,1009.28,-26.12,,26.83,82.91,1.00,20.58,41.28,1.00,28.48,6.98,83.98,1.00,4.90,52239.96,1.00,0.00,1436.53,4.21,43865.89,130.65,1.00,1.00,397.85,982.18,1.00,0.00,42088.99,1.00,735.14,123.14,1.00,122.06,-26.12,40888.54,25.88,8.26,4.33,291.11,194.48,0.06,6.72
2025-05-23 01:46:00,0.00,0.10,1.00,45.00,59.00,270.00,285.00,276.00,277.00,0.00,1037.61,983.58,1010.595,-49.38,,26.81,82.97,1.00,20.59,41.54,1.00,29.32,6.75,83.99,1.00,4.91,52240.12,1.00,0.00,1437.31,2.78,43866.02,130.03,1.00,1.00,437.09,983.42,1.00,0.00,42088.99,1.00,763.47,124.15,1.00,122.39,-49.38,42484.43,26.51,8.59,5.00,36.47,178.04,0.06,4.69
